,ID,RA,Dec,k36mag,e36mag,d36mag,k45mag,e45mag,d45mag,k58mag,e58mag,d58mag,k80mag,e80mag,d80mag,k24mag,e24mag,dstArcSec,RAJ2000,DEJ2000,Jmag,eJmag,Hmag,eHmag,Kmag,eKmag,CMD1region,CMD2region,CMD3region
2219,2220,296.19742,-14.767339999999999,16.38,0.1,0.72,15.54,0.07,-0.02,15.67,0.07,-0.06,14.91,0.06,-0.18,12.18,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,6
2869,2870,296.107,-14.824639999999999,16.62,0.06,0.09,15.83,0.06,0.03,16.23,0.24,0.57,15.27,0.1,-9999.0,12.25,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,6
2974,2975,296.05172000000005,-14.713410000000001,17.22,0.24,1.52,15.87,0.04,0.19,15.45,0.09,-0.37,15.58,0.16,-0.02,11.87,0.07,0.14430794306676903,296.051758,-14.713394000000001,16.188,0.013999999999999999,15.847000000000001,0.011000000000000001,15.789000000000001,0.013999999999999999,1,-9999,6
2976,2977,296.4194,-14.841660000000001,16.65,0.11,1.62,15.87,0.14,1.21,15.11,0.05,0.12,15.56,0.09,0.65,11.99,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,6
2982,2983,296.27317,-14.84772,16.36,0.05,0.08,15.87,0.04,0.01,15.39,0.05,0.01,14.89,0.06,-0.18,10.92,0.08,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,6
2985,2986,296.24979,-14.752289999999999,16.39,0.06,0.53,15.87,0.04,0.29,15.32,0.05,0.19,14.8,0.03,0.24,11.39,0.15,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,6
3082,3083,296.2347,-14.77015,16.09,0.05,0.22,15.91,0.07,0.11,15.93,0.08,0.17,16.86,0.29,-9999.0,12.48,-9999.0,0.293870396577796,296.234619,-14.770126999999999,16.224,0.013999999999999999,16.148,0.017,16.230999999999998,0.022000000000000002,1,1,6
3083,3084,296.15795,-14.91775,16.66,0.04,0.22,15.91,0.06,0.04,15.5,0.06,-0.42,15.23,0.12,0.32,10.71,0.06,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,6
3129,3130,296.44104,-14.86496,16.62,0.06,0.1,15.93,0.08,-0.06,15.15,0.04,-0.02,15.05,0.11,0.81,11.2,0.14,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,6
3153,3154,296.13692000000003,-14.77568,16.4,0.09,0.31,15.93,0.11,0.25,15.79,0.1,0.39,14.68,0.1,0.89,10.51,0.07,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,6
