ID,CMD1region,RA,Dec,Jmag,eJmag,Kmag,eKmag,jMINUSk,ERRORjMINUSk
1732,1,296.37998,-14.74277,16.107,0.012,15.71,0.014,0.397,0.018439089
1762,1,296.32583,-14.83871,16.285,0.013,15.696,0.014,0.589,0.019104973
1783,1,296.4153,-14.7208,16.04,0.011,15.58,0.012,0.46,0.016278821
1846,1,296.25001,-14.81896,16.01,0.012,15.578,0.013,0.432,0.017691806
1847,1,296.24144,-14.83423,15.917,0.011,15.558,0.013,0.359,0.017029386
1860,1,296.26611,-14.88924,15.94,0.011,15.635,0.014,0.305,0.017804494
1868,1,296.21277,-14.75637,15.951,0.012,15.539,0.013,0.412,0.017691806
1870,1,296.29487,-14.91561,16.19,0.013,15.551,0.013,0.639,0.018384776
1877,1,296.41277,-14.8461,15.981,0.011,15.592,0.013,0.389,0.017029386
1879,1,296.30459,-14.77975,16.014,0.012,15.595,0.015,0.419,0.019209373
1882,1,296.31533,-14.87199,15.805,0.01,15.611,0.014,0.194,0.017204651
1902,1,296.04983,-14.83012,16.06,0.014,15.524,0.013,0.536,0.019104973
1944,1,296.1355,-14.76624,15.858,0.011,15.526,0.013,0.332,0.017029386
1950,1,296.07589,-14.94933,15.971,0.011,15.639,0.02,0.332,0.022825424
1955,1,296.29859,-14.65853,16.233,0.013,15.578,0.012,0.655,0.017691806
1971,1,296.21353,-14.72642,16.101,0.013,15.563,0.013,0.538,0.018384776
1982,1,296.24365,-14.77463,16.193,0.013,15.622,0.014,0.571,0.019104973
1996,1,296.26762,-14.82148,16.046,0.012,15.582,0.013,0.464,0.017691806
2004,1,296.18263,-14.79187,15.93,0.011,15.559,0.013,0.371,0.017029386
2005,1,296.21699,-14.86582,16.334,0.015,15.928,0.018,0.406,0.023430749
2012,1,296.20987,-14.66279,15.941,0.011,15.553,0.012,0.388,0.016278821
2023,1,296.43032,-14.91573,16.127,0.012,15.573,0.013,0.554,0.017691806
2033,1,296.36707,-14.71719,16.121,0.012,15.637,0.012,0.484,0.016970563
2038,1,296.31217,-14.71394,16.036,0.011,15.619,0.013,0.417,0.017029386
2041,1,296.35258,-14.756,16.064,0.011,15.526,0.012,0.538,0.016278821
2050,1,296.27865,-14.89286,15.839,0.011,15.533,0.013,0.306,0.017029386
2060,1,296.31901,-14.69081,16.04,0.011,15.575,0.012,0.465,0.016278821
2076,1,296.20082,-14.70931,16.039,0.011,15.568,0.012,0.471,0.016278821
2094,1,296.25272,-14.85401,15.92,0.011,15.7,0.015,0.22,0.018601075
2102,1,296.21427,-14.95128,15.74,0.01,15.533,0.014,0.207,0.017204651
2103,1,296.10373,-14.84382,16.048,0.012,15.585,0.013,0.463,0.017691806
2112,1,296.38455,-14.8838,16.101,0.011,15.69,0.014,0.411,0.017804494
2113,1,296.39911,-14.89372,16.172,0.012,15.645,0.013,0.527,0.017691806
2123,1,296.35304,-14.66571,16.176,0.012,15.571,0.012,0.605,0.016970563
2125,1,296.2133,-14.68373,16.006,0.011,15.538,0.012,0.468,0.016278821
2127,1,296.26028,-14.89405,15.957,0.012,15.598,0.014,0.359,0.018439089
2128,1,296.13269,-14.91413,15.874,0.011,15.525,0.013,0.349,0.017029386
2135,1,296.2612,-14.83641,15.922,0.011,15.562,0.013,0.36,0.017029386
2144,1,296.3085,-14.88235,15.943,0.011,15.674,0.014,0.269,0.017804494
2148,1,296.37473,-14.82224,16.095,0.011,15.595,0.013,0.5,0.017029386
2153,1,296.12976,-14.72115,16.113,0.012,15.663,0.013,0.45,0.017691806
2159,1,296.23723,-14.67619,16.086,0.012,15.631,0.013,0.455,0.017691806
2161,1,296.17373,-14.75722,16.182,0.013,15.64,0.014,0.542,0.019104973
2174,1,296.40571,-14.81246,16.182,0.012,15.577,0.013,0.605,0.017691806
2178,1,296.24935,-14.78396,16.261,0.014,15.712,0.015,0.549,0.020518285
2179,1,296.36654,-14.7104,16.044,0.011,15.595,0.012,0.449,0.016278821
2187,1,296.25122,-14.80401,15.867,0.011,15.554,0.013,0.313,0.017029386
2198,1,296.4386,-14.90158,16.072,0.011,15.637,0.013,0.435,0.017029386
2203,1,296.16029,-14.68812,16.097,0.012,15.589,0.012,0.508,0.016970563
2207,1,296.23961,-14.73133,16.105,0.013,15.687,0.015,0.418,0.019849433
2208,1,296.10991,-14.77453,16.189,0.014,15.701,0.015,0.488,0.020518285
2215,1,296.1034,-14.70899,16.265,0.013,15.652,0.013,0.613,0.018384776
2225,1,296.2161,-14.9356,15.903,0.011,15.585,0.014,0.318,0.017804494
2230,1,296.19825,-14.84365,16.175,0.013,15.596,0.014,0.579,0.019104973
2231,1,296.40342,-14.78836,16.127,0.012,15.714,0.014,0.413,0.018439089
2232,1,296.23414,-14.75092,15.783,0.01,15.732,0.015,0.051,0.018027756
2238,1,296.14083,-14.7349,16.208,0.014,15.675,0.014,0.533,0.01979899
2242,1,296.28643,-14.64497,16.065,0.012,15.558,0.012,0.507,0.016970563
2243,1,296.25632,-14.67907,16.174,0.012,15.677,0.013,0.497,0.017691806
2244,1,296.12056,-14.70692,16.089,0.012,15.646,0.013,0.443,0.017691806
2254,1,296.25349,-14.74029,16.248,0.014,15.633,0.014,0.615,0.01979899
2256,1,296.11502,-14.81315,16.02,0.012,15.697,0.015,0.323,0.019209373
2257,1,296.25593,-14.73234,15.984,0.012,15.691,0.015,0.293,0.019209373
2260,1,296.36394,-14.8672,16.252,0.013,15.643,0.013,0.609,0.018384776
2262,1,296.13396,-14.94855,16.028,0.012,15.778,0.017,0.25,0.020808652
2264,1,296.32733,-14.89439,16.193,0.012,15.674,0.014,0.519,0.018439089
2268,1,296.36219,-14.70421,16.146,0.012,15.686,0.013,0.46,0.017691806
2270,1,296.18781,-14.70307,15.999,0.011,15.587,0.012,0.412,0.016278821
2275,1,296.16848,-14.83271,16.068,0.013,15.65,0.014,0.418,0.019104973
2276,1,296.11868,-14.82705,16.07,0.013,15.603,0.014,0.467,0.019104973
2289,1,296.31563,-14.83362,16.441,0.016,16.08,0.02,0.361,0.025612497
2293,1,296.14263,-14.78209,16.233,0.014,15.602,0.014,0.631,0.01979899
2301,1,296.38921,-14.71709,16.253,0.013,15.717,0.013,0.536,0.018384776
2308,1,296.32176,-14.85284,16.016,0.011,15.604,0.013,0.412,0.017029386
2309,1,296.17137,-14.78977,16.158,0.013,15.767,0.016,0.391,0.020615528
2310,1,296.21095,-14.73996,16.363,0.015,15.747,0.015,0.616,0.021213203
2312,1,296.21861,-14.76807,16.221,0.014,15.759,0.015,0.462,0.020518285
2313,1,296.14334,-14.76307,16.088,0.013,15.641,0.014,0.447,0.019104973
2317,1,296.09481,-14.8431,16.07,0.013,15.655,0.014,0.415,0.019104973
2319,1,296.19859,-14.76926,16.215,0.014,15.777,0.016,0.438,0.021260292
2320,1,296.30587,-14.82144,16.204,0.013,15.885,0.017,0.319,0.021400935
2323,1,296.38249,-14.69385,16.031,0.011,15.618,0.012,0.413,0.016278821
2333,1,296.13183,-14.83601,16.162,0.013,15.621,0.014,0.541,0.019104973
2340,1,296.17597,-14.83218,16.188,0.014,15.666,0.014,0.522,0.01979899
2342,1,296.1903,-14.72984,16.226,0.014,15.705,0.015,0.521,0.020518285
2345,1,296.33443,-14.73951,16.17,0.012,15.719,0.014,0.451,0.018439089
2353,1,296.36207,-14.91082,16.22,0.012,15.648,0.013,0.572,0.017691806
2357,1,296.05796,-14.7815,16.092,0.014,15.68,0.015,0.412,0.020518285
2362,1,296.19451,-14.82857,16.269,0.014,15.774,0.016,0.495,0.021260292
