ID,RA,Dec,Jmag,eJmag,Kmag,eKmag,jMINUSk,ERRORjMINUSk
2794,296.39396,-14.86748,17.776,0.036,16.559,0.027,1.217,0.045
3066,296.10679,-14.87421,17.575,0.038,16.549,0.029,1.026,0.047801674
3124,296.19453,-14.76117,17.846,0.047,16.682,0.032,1.164,0.056859476
3364,296.29252,-14.82039,17.709,0.042,16.535,0.028,1.174,0.050477718
3409,296.28102,-14.79543,17.834,0.046,16.876,0.038,0.958,0.059665736
3451,296.11437,-14.67292,17.816,0.043,16.797,0.031,1.019,0.053009433
3623,296.18308,-14.82892,17.601,0.039,16.577,0.03,1.024,0.049203658
3625,296.25169,-14.77651,17.517,0.036,16.546,0.029,0.971,0.046227697
3667,296.14639,-14.73411,17.544,0.036,16.559,0.029,0.985,0.046227697
3739,296.16801,-14.84227,17.722,0.042,16.601,0.03,1.121,0.051613952
3773,296.25169,-14.79448,17.798,0.045,16.589,0.03,1.209,0.054083269
3785,296.26494,-14.80828,17.518,0.036,16.508,0.028,1.01,0.045607017
3798,296.30306,-14.92395,17.552,0.036,16.517,0.029,1.035,0.046227697
3801,296.22966,-14.82247,17.644,0.04,16.609,0.03,1.035,0.05
3807,296.28073,-14.7986,17.804,0.045,16.754,0.035,1.05,0.057008771
3860,296.28541,-14.86483,17.668,0.04,16.631,0.031,1.037,0.050606324
3876,296.27959,-14.81588,17.565,0.037,16.598,0.03,0.967,0.047634021
3890,296.03834,-14.74275,17.513,0.04,16.573,0.03,0.94,0.05
3897,296.18528,-14.74756,17.622,0.039,16.588,0.03,1.034,0.049203658
3965,296.11758,-14.80525,17.64,0.04,16.575,0.03,1.065,0.05
3985,296.18526,-14.77954,17.536,0.036,16.517,0.028,1.019,0.045607017
4034,296.37489,-14.79806,17.733,0.035,16.549,0.027,1.184,0.044204072
4036,296.23482,-14.86258,17.709,0.042,16.683,0.032,1.026,0.052801515
4045,296.15369,-14.67177,17.523,0.034,16.566,0.026,0.957,0.042801869
4057,296.36443,-14.73894,17.783,0.037,16.797,0.033,0.986,0.049578221
4069,296.242,-14.77972,17.579,0.038,16.621,0.031,0.958,0.049040799
4071,296.28253,-14.86894,17.482,0.034,16.546,0.028,0.936,0.044045431
4092,296.33002,-14.75884,17.632,0.033,16.51,0.026,1.122,0.042011903
4106,296.34921,-14.68093,17.532,0.035,16.605,0.026,0.927,0.043600459
4140,296.28303,-14.79553,17.78,0.044,16.681,0.033,1.099,0.055
4172,296.20342,-14.81974,17.568,0.038,16.624,0.031,0.944,0.049040799
4175,296.27706,-14.79449,17.776,0.044,16.624,0.031,1.152,0.053823787
4189,296.26332,-14.84192,17.593,0.038,16.508,0.028,1.085,0.047201695
4203,296.24957,-14.86058,17.724,0.042,16.681,0.032,1.043,0.052801515
4239,296.25129,-14.85639,17.765,0.044,16.703,0.032,1.062,0.054405882
4243,296.27403,-14.91851,17.595,0.038,16.666,0.032,0.929,0.049678969
4249,296.21254,-14.734,17.967,0.052,17.035,0.043,0.932,0.067475922
4251,296.07957,-14.78688,17.674,0.046,16.613,0.033,1.061,0.056612719
4275,296.17046,-14.85892,17.8,0.045,16.788,0.035,1.012,0.057008771
4285,296.33151,-14.69754,17.652,0.039,16.609,0.026,1.043,0.046872167
4289,296.32617,-14.66617,17.581,0.035,16.513,0.025,1.068,0.043011626
4293,296.38848,-14.85707,17.709,0.035,16.694,0.03,1.015,0.046097722
4295,296.28499,-14.77743,17.954,0.051,16.87,0.038,1.084,0.063600314
4324,296.33015,-14.77267,17.689,0.034,16.579,0.028,1.11,0.044045431
4327,296.24618,-14.79579,17.605,0.038,16.652,0.031,0.953,0.049040799
4329,296.22754,-14.77825,17.747,0.043,16.78,0.035,0.967,0.055443665
4335,296.29043,-14.77454,17.627,0.039,16.688,0.034,0.939,0.051739733
4351,296.36368,-14.71105,17.774,0.043,16.647,0.027,1.127,0.050774009
4368,296.18064,-14.81944,17.53,0.036,16.602,0.03,0.928,0.046861498
4369,296.24426,-14.8957,17.515,0.036,16.557,0.029,0.958,0.046227697
4370,296.19305,-14.69982,17.474,0.033,16.532,0.025,0.942,0.041400483
4371,296.31126,-14.83674,17.766,0.043,16.54,0.029,1.226,0.05186521
