ID1,CMD1region
77,3
94,5
102,5
106,5
117,5
125,2
126,2
131,2
134,2
144,2
149,1
153,5
154,1
158,2
159,1
160,1
161,2
164,5
166,2
167,2
168,2
175,2
176,1
177,1
178,2
179,2
180,5
181,1
183,1
184,1
185,1
186,1
188,3
190,1
191,1
192,1
193,1
195,1
196,2
197,1
199,1
200,1
201,1
202,1
203,5
204,1
207,1
208,1
209,2
210,3
211,2
212,2
213,1
214,1
215,2
216,1
217,2
218,2
219,2
220,1
222,1
223,1
224,1
225,1
227,1
228,2
229,1
231,1
232,1
233,1
235,1
237,1
238,1
240,1
241,2
242,1
243,5
244,1
245,1
246,2
247,1
248,3
250,2
251,1
254,1
255,2
256,2
257,2
258,2
259,1
260,2
261,2
262,5
263,1
265,1
266,1
267,1
269,1
270,5
271,1
273,1
275,1
277,1
278,1
280,2
281,1
283,1
285,1
286,5
288,1
290,1
292,1
293,2
294,1
296,1
297,1
298,1
299,5
300,1
301,1
303,2
304,1
305,1
306,1
309,1
310,1
311,2
312,2
313,5
316,5
317,1
318,1
319,5
320,2
321,1
322,2
323,5
326,1
327,5
329,2
330,1
332,1
333,1
334,2
335,1
336,2
337,1
338,2
339,2
340,1
341,1
342,5
343,1
345,1
346,3
348,5
350,5
351,5
352,1
353,2
354,1
355,1
357,2
358,2
359,1
360,1
361,5
363,1
364,1
365,5
366,1
367,5
368,5
369,1
371,1
372,1
373,1
374,1
376,1
378,1
379,2
380,1
382,1
383,1
384,1
385,5
386,1
388,1
391,1
392,2
393,1
394,1
395,1
396,1
397,1
399,5
400,2
401,3
402,4
405,2
406,5
407,5
409,1
410,1
411,5
412,1
413,2
414,1
415,1
416,1
417,5
418,1
420,2
421,5
422,1
423,1
424,2
426,2
427,1
428,1
429,1
430,2
431,1
432,2
433,1
435,4
437,5
438,2
439,5
440,2
441,1
442,5
444,2
446,1
447,2
449,2
450,1
451,5
453,2
456,5
457,2
458,1
459,1
460,1
461,1
463,2
464,3
466,2
467,1
468,2
469,1
470,2
472,1
473,1
474,1
477,1
479,1
480,1
481,5
482,1
483,1
488,5
489,1
490,2
491,2
492,1
493,1
494,1
495,5
496,2
497,1
498,5
499,1
500,2
501,1
502,1
504,2
505,5
507,2
508,5
509,2
510,1
511,1
512,4
513,1
514,1
516,3
517,2
519,3
520,1
522,2
524,1
525,2
526,2
527,2
529,1
532,3
533,1
534,2
535,1
536,1
537,3
538,1
539,1
540,5
541,1
542,2
543,1
544,2
545,2
546,4
547,2
548,1
549,1
551,1
552,2
553,2
554,2
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,2
565,5
566,2
567,1
570,2
571,1
572,1
573,2
574,1
575,3
576,1
577,2
579,1
580,2
581,1
582,4
583,1
584,4
585,3
586,1
587,3
588,1
589,4
590,2
591,3
592,1
593,5
594,2
595,5
596,1
598,2
599,1
601,1
602,1
603,1
605,1
606,2
607,1
608,5
609,2
610,1
614,3
615,1
616,5
617,1
618,5
619,2
620,5
621,1
623,1
624,1
625,2
626,1
627,4
628,1
629,1
630,1
631,5
632,4
634,2
635,1
636,4
637,1
639,1
640,1
641,1
642,1
643,5
645,2
647,1
648,2
650,1
651,2
652,1
653,3
654,5
655,1
656,2
657,2
658,3
659,2
660,2
661,5
663,1
664,3
666,1
667,1
668,1
669,1
671,1
672,1
673,1
674,1
675,1
676,4
678,1
679,1
680,1
681,2
682,2
685,5
686,1
687,1
688,2
689,4
690,1
691,1
692,5
693,2
694,5
695,1
696,1
698,1
701,1
702,1
703,4
704,2
705,2
706,1
707,4
708,1
709,1
710,2
711,3
712,3
713,2
714,1
715,1
716,1
717,1
718,1
719,1
720,1
722,4
723,1
724,3
726,1
728,1
729,2
730,1
731,1
733,4
734,5
735,1
736,2
737,4
738,1
740,3
741,1
742,1
743,2
744,2
745,1
746,2
747,2
748,2
749,1
750,1
751,5
752,2
754,1
755,1
756,1
757,3
761,1
762,3
764,1
765,1
766,1
767,2
768,2
769,2
770,1
771,5
772,1
773,1
774,2
776,1
777,4
778,2
779,1
780,1
781,1
783,5
785,4
786,1
787,4
788,2
790,1
791,2
792,4
793,2
794,4
795,1
796,4
797,1
798,2
800,4
801,2
802,3
803,1
804,1
805,1
806,4
807,2
808,2
809,3
810,1
811,5
812,5
813,4
814,1
816,1
817,2
818,2
819,4
820,2
821,4
822,4
823,1
824,2
825,2
828,1
829,1
830,1
831,2
832,2
833,2
834,1
835,4
836,4
839,1
840,2
841,2
843,2
844,1
845,2
846,2
847,1
848,1
849,4
850,1
852,4
853,1
854,1
855,2
856,4
857,5
858,1
859,1
860,2
861,2
862,3
863,1
864,4
865,1
866,2
867,1
868,2
869,3
870,2
871,1
872,1
873,4
874,3
875,3
876,1
877,4
879,1
880,1
881,3
882,1
883,4
884,4
885,1
887,2
888,1
889,4
890,1
891,3
892,4
893,2
894,2
896,1
897,2
898,1
899,2
901,1
902,2
903,4
904,2
905,1
906,4
907,4
908,1
909,2
910,1
911,4
913,4
914,1
915,4
916,4
917,4
918,1
920,1
921,4
922,2
923,4
924,4
925,2
926,1
927,1
928,2
929,1
930,4
931,4
932,1
933,4
934,1
935,4
936,5
938,2
940,2
942,4
943,1
944,2
945,1
946,4
947,2
948,1
950,1
951,4
952,1
953,1
954,2
955,3
956,1
957,4
958,1
959,1
960,1
961,4
962,1
963,4
964,2
965,4
966,2
967,3
969,4
970,2
971,4
972,1
973,4
974,1
975,4
976,2
978,2
979,4
980,1
981,1
982,1
983,1
984,1
985,1
986,2
987,1
988,4
989,1
990,1
991,4
992,4
993,2
995,1
996,1
997,3
998,2
999,1
1001,4
1002,1
1003,2
1005,4
1006,4
1007,1
1008,4
1009,1
1010,4
1011,3
1012,1
1013,1
1014,4
1015,2
1016,1
1017,2
1020,1
1021,4
1022,1
1023,3
1025,1
1026,1
1027,1
1028,1
1029,3
1030,1
1032,2
1033,2
1035,2
1038,1
1039,2
1040,1
1041,1
1042,1
1043,1
1045,1
1046,4
1047,1
1048,1
1049,1
1050,4
1051,2
1052,4
1053,1
1054,1
1055,4
1057,2
1058,4
1060,1
1062,2
1063,1
1064,1
1065,2
1066,1
1067,2
1068,5
1069,1
1070,5
1071,1
1072,4
1074,1
1075,4
1076,4
1077,4
1080,1
1081,2
1082,2
1083,1
1084,1
1086,1
1087,1
1088,1
1089,1
1090,4
1091,5
1093,4
1095,1
1096,2
1097,2
1098,4
1100,4
1101,1
1102,1
1103,4
1104,1
1105,2
1107,2
1108,3
1110,1
1111,5
1112,1
1113,2
1114,2
1115,1
1116,4
1117,4
1119,2
1120,2
1123,4
1124,4
1125,1
1126,1
1127,1
1128,2
1129,4
1130,1
1133,4
1134,2
1135,4
1136,1
1138,1
1140,2
1141,2
1142,1
1143,2
1144,2
1146,3
1147,1
1148,1
1149,4
1150,1
1151,1
1152,2
1153,1
1154,5
1155,4
1156,1
1157,4
1158,1
1159,1
1160,5
1161,2
1162,2
1163,4
1164,2
1167,2
1168,1
1170,1
1171,1
1172,1
1175,5
1177,1
1178,1
1179,1
1180,1
1181,4
1182,1
1183,4
1184,4
1185,3
1186,5
1188,4
1189,4
1190,1
1191,1
1192,4
1193,1
1194,2
1195,4
1196,5
1197,2
1198,3
1201,3
1202,4
1205,4
1206,1
1207,1
1208,2
1209,2
1210,2
1212,2
1213,1
1214,4
1215,2
1216,1
1217,4
1218,1
1219,4
1220,5
1223,1
1224,1
1225,3
1226,1
1227,1
1228,1
1229,1
1230,2
1232,4
1233,1
1235,4
1236,2
1237,4
1238,1
1239,4
1240,2
1241,4
1242,4
1244,2
1245,1
1246,2
1247,1
1248,2
1249,1
1251,4
1252,1
1253,4
1255,1
1257,4
1258,4
1259,1
1260,1
1262,2
1263,2
1264,4
1265,4
1266,1
1269,4
1271,4
1274,1
1275,1
1276,2
1277,4
1278,4
1279,1
1280,4
1281,2
1283,4
1284,1
1287,1
1288,1
1289,4
1290,1
1291,4
1293,4
1294,4
1295,1
1297,2
1299,1
1300,4
1301,2
1302,2
1303,2
1305,1
1307,4
1308,2
1309,1
1310,4
1311,5
1313,1
1315,1
1316,5
1317,2
1320,4
1321,3
1322,2
1323,4
1324,4
1325,2
