ID,CMD2region,RA,Dec,k36mag,e36mag,Jmag,eJmag,jMINUSthreesix,ERRORjMINUSthreesix
3738,2,296.4127,-14.75641,16.39,0.08,17.442,0.028,1.052,0.08475848
3890,2,296.03834,-14.74275,16.51,0.1,17.513,0.04,1.003,0.107703296
3903,2,296.044,-14.79951,16.48,0.05,17.434,0.038,0.954,0.062801274
3937,2,296.11855,-14.90989,16.38,0.04,17.34,0.031,0.96,0.050606324
3960,2,296.42718,-14.8008,16.46,0.07,17.447,0.028,0.987,0.075392307
3987,2,296.25662,-14.74937,16.34,0.04,17.455,0.034,1.115,0.052497619
4066,2,296.30369,-14.69681,16.38,0.04,17.426,0.031,1.046,0.050606324
4073,2,296.26562,-14.81451,16.37,0.05,17.322,0.031,0.952,0.058830264
4078,2,296.41004,-14.78112,16.38,0.06,17.385,0.027,1.005,0.065795137
4134,2,296.13653,-14.81052,16.37,0.08,17.261,0.029,0.891,0.085094066
4170,2,296.27473,-14.81258,16.36,0.05,17.255,0.029,0.895,0.057801384
4177,2,296.07483,-14.90005,16.34,0.06,17.324,0.035,0.984,0.06946222
4206,2,296.11611,-14.91784,16.34,0.07,17.292,0.03,0.952,0.076157731
4225,2,296.33198,-14.69426,16.37,0.08,17.371,0.031,1.001,0.08579627
4229,2,296.08471,-14.85843,16.42,0.05,17.423,0.038,1.003,0.062801274
4248,2,296.13068,-14.76754,16.47,0.05,17.455,0.034,0.985,0.060464866
4300,2,296.40458,-14.77724,16.41,0.07,17.449,0.028,1.039,0.075392307
4338,2,296.26921,-14.8989,16.4,0.05,17.337,0.031,0.937,0.058830264
4340,2,296.22507,-14.80392,16.53,0.1,17.424,0.034,0.894,0.105621967
4366,2,296.11053,-14.81616,16.43,0.09,17.502,0.036,1.072,0.096932967
4370,2,296.19305,-14.69982,16.38,0.03,17.474,0.033,1.094,0.044598206
4375,2,296.21258,-14.74542,16.34,0.05,17.25,0.029,0.91,0.057801384
4388,2,296.29249,-14.70585,16.58,0.03,17.658,0.038,1.078,0.048414874
4390,2,296.15959,-14.72417,16.47,0.03,17.512,0.034,1.042,0.045343136
4394,2,296.08585,-14.85475,16.42,0.07,17.44,0.038,1.02,0.079649231
4399,2,296.409,-14.7156,16.45,0.06,17.593,0.037,1.143,0.070491134
4402,2,296.35894,-14.88739,16.35,0.04,17.459,0.029,1.109,0.049406477
4409,2,296.24302,-14.72393,16.44,0.1,17.466,0.032,1.026,0.104995238
4425,2,296.40338,-14.89036,16.54,0.08,17.406,0.028,0.866,0.08475848
4436,2,296.3074,-14.65756,16.35,0.05,17.273,0.028,0.923,0.057306195
4466,2,296.40564,-14.82057,16.5,0.07,17.525,0.03,1.025,0.076157731
4478,2,296.20218,-14.83993,16.43,0.04,17.474,0.035,1.044,0.053150729
4481,2,296.3657,-14.65967,16.42,0.09,17.36,0.03,0.94,0.09486833
4503,2,296.1697,-14.73885,16.48,0.03,17.609,0.038,1.129,0.048414874
4505,2,296.06254,-14.7582,16.49,0.08,17.456,0.039,0.966,0.089
4509,2,296.08257,-14.67547,16.48,0.11,17.483,0.036,1.003,0.11574109
4510,2,296.28558,-14.64954,16.59,0.06,17.636,0.037,1.046,0.070491134
4514,2,296.30943,-14.63694,16.47,0.15,17.544,0.034,1.074,0.153805071
4530,2,296.29126,-14.88882,16.44,0.05,17.388,0.032,0.948,0.059363288
4535,2,296.17815,-14.90225,16.45,0.04,17.505,0.036,1.055,0.053814496
4536,2,296.40888,-14.88479,16.52,0.09,17.513,0.03,0.993,0.09486833
4557,2,296.13135,-14.91762,16.46,0.06,17.535,0.036,1.075,0.069971423
4563,2,296.4158,-14.79878,16.53,0.05,17.587,0.032,1.057,0.059363288
4564,2,296.24669,-14.67519,16.46,0.07,17.364,0.03,0.904,0.076157731
4567,2,296.40393,-14.84238,16.35,0.06,17.362,0.027,1.012,0.065795137
4589,2,296.19729,-14.65669,16.38,0.03,17.41,0.031,1.03,0.043139309
4608,2,296.35593,-14.88728,16.47,0.04,17.531,0.03,1.061,0.05
4621,2,296.12439,-14.74172,16.44,0.03,17.563,0.037,1.123,0.047634021
4636,2,296.23227,-14.88,16.51,0.05,17.62,0.039,1.11,0.063411355
4640,2,296.18107,-14.75135,16.41,0.05,17.329,0.031,0.919,0.058830264
4642,2,296.35722,-14.83453,16.42,0.05,17.528,0.03,1.108,0.058309519
4646,2,296.22707,-14.69614,16.42,0.02,17.51,0.034,1.09,0.039446166
4648,2,296.38729,-14.81042,16.43,0.06,17.449,0.028,1.019,0.066211781
4649,2,296.20377,-14.72937,16.55,0.04,17.62,0.039,1.07,0.055865911
4651,2,296.23838,-14.66399,16.61,0.04,17.648,0.037,1.038,0.054488531
4652,2,296.412,-14.69453,16.6,0.06,17.446,0.032,0.846,0.068
4655,2,296.29439,-14.83654,16.35,0.05,17.472,0.034,1.122,0.060464866
4656,2,296.04076,-14.76966,16.58,0.04,17.507,0.04,0.927,0.056568542
4671,2,296.23093,-14.86447,16.39,0.04,17.392,0.033,1.002,0.051855569
4674,2,296.19822,-14.86422,16.59,0.06,17.628,0.039,1.038,0.071561163
4683,2,296.40793,-14.79458,16.47,0.07,17.567,0.031,1.097,0.076557168
4684,2,296.3612,-14.83392,16.5,0.04,17.432,0.028,0.932,0.048826222
4689,2,296.10125,-14.73816,16.5,0.04,17.584,0.038,1.084,0.055172457
4706,2,296.1418,-14.90057,16.37,0.05,17.477,0.035,1.107,0.061032778
4710,2,296.33651,-14.65876,16.54,0.05,17.433,0.032,0.893,0.059363288
4714,2,296.10938,-14.85454,16.4,0.09,17.378,0.032,0.978,0.095519631
4718,2,296.29689,-14.74299,17.08,0.16,18.092,0.056,1.012,0.169516961
4719,2,296.13763,-14.72688,16.4,0.08,17.373,0.032,0.973,0.086162637
4724,2,296.21357,-14.79253,16.66,0.07,17.645,0.04,0.985,0.080622577
4729,2,296.0929,-14.6817,16.52,0.04,17.536,0.034,1.016,0.052497619
