ID,CMD3region,RA,Dec,k36mag,e36mag,k80mag,e80mag,threesixMINUSeightzero,ERRORthreesixMINUSeightzero
27,5,296.28082,-14.79704,12.46,0.05,9.75,0.04,2.71,0.064031242
48,5,296.21986,-14.72059,12.92,0.08,9.49,0.08,3.43,0.113137085
84,5,296.22,-14.7198,13.77,0.1,10.46,0.04,3.31,0.107703296
106,5,296.29324,-14.90859,13.39,0.04,10.86,0.03,2.53,0.05
141,5,296.17763,-14.84184,13.83,0.07,10.24,0.05,3.59,0.086023253
162,5,296.25026,-14.76425,14.03,0.04,11.43,0.04,2.6,0.056568542
169,5,296.20188,-14.8746,14.26,0.06,10.07,0.06,4.19,0.084852814
173,5,296.29795,-14.74684,14.14,0.07,11.47,0.02,2.67,0.072801099
198,5,296.2206,-14.71969,13.36,0.09,10.71,0.07,2.65,0.114017543
253,5,296.27249,-14.78268,14.91,0.05,11.29,0.02,3.62,0.053851648
264,5,296.21087,-14.80223,14.58,0.06,11.81,0.03,2.77,0.067082039
272,5,296.18622,-14.76608,14.76,0.08,11.61,0.04,3.15,0.089442719
289,5,296.32123,-14.79192,13.88,0.09,8.58,0.01,5.3,0.090553851
328,5,296.13027,-14.78719,14.78,0.04,11.13,0.05,3.65,0.064031242
356,5,296.24114,-14.8189,14.79,0.04,12.06,0.02,2.73,0.04472136
370,5,296.14634,-14.92335,14.83,0.04,11.73,0.05,3.1,0.064031242
425,5,296.188,-14.79691,15.06,0.06,12.37,0.03,2.69,0.067082039
448,5,296.23813,-14.79714,14.69,0.09,11.77,0.08,2.92,0.120415946
466,5,296.12876,-14.80718,14.95,0.04,10.95,0.03,4,0.05
515,5,296.21898,-14.71933,14.74,0.1,11.36,0.07,3.38,0.122065556
530,5,296.20844,-14.76216,15.15,0.06,12.44,0.02,2.71,0.063245553
611,5,296.13744,-14.79176,15.07,0.06,11.65,0.08,3.42,0.1
725,5,296.24504,-14.73758,15.59,0.05,12.51,0.04,3.08,0.064031242
727,5,296.29307,-14.80704,15.7,0.05,12.23,0.04,3.47,0.064031242
753,5,296.21212,-14.88034,15.06,0.05,11.86,0.05,3.2,0.070710678
758,5,296.31047,-14.82638,15.19,0.06,11.71,0.05,3.48,0.078102497
763,5,296.21912,-14.72086,15.02,0.13,11.14,0.14,3.88,0.191049732
939,5,296.32133,-14.75828,15.79,0.03,12.21,0.05,3.58,0.058309519
1145,5,296.12778,-14.6935,14.99,0.05,11.56,0.04,3.43,0.064031242
1250,5,296.12805,-14.69345,14.99,0.05,11.56,0.04,3.43,0.064031242
1270,5,296.2372,-14.75501,15.59,0.07,12.36,0.03,3.23,0.076157731
1634,5,296.21862,-14.71866,15.47,0.13,11.59,0.11,3.88,0.170293864
1642,5,296.21008,-14.88141,15.42,0.05,11.42,0.04,4,0.064031242
1718,5,296.20728,-14.88295,15.79,0.1,11.98,0.08,3.81,0.128062485
1758,5,296.29754,-14.81502,16.02,0.03,11.81,0.05,4.21,0.058309519
1818,5,296.21216,-14.87974,15.69,0.07,11.18,0.07,4.51,0.098994949
1906,5,296.20618,-14.88301,15.66,0.07,11.83,0.05,3.83,0.086023253
2008,5,296.20456,-14.71633,15.91,0.04,11.67,0.04,4.24,0.056568542
2055,5,296.212,-14.88159,15.97,0.1,12.31,0.08,3.66,0.128062485
2057,5,296.22301,-14.71912,16.38,0.07,12.13,0.09,4.25,0.114017543
2235,5,296.04335,-14.80379,15.89,0.08,12.4,0.04,3.49,0.089442719
2482,5,296.20857,-14.88385,16.27,0.1,12.32,0.06,3.95,0.116619038
2761,5,296.135,-14.7013,16.68,0.09,12.52,0.06,4.16,0.108166538
3031,5,296.21731,-14.71574,16.18,0.06,12.34,0.17,3.84,0.180277564
