,ID,RA,Dec,k36mag,e36mag,d36mag,k45mag,e45mag,d45mag,k58mag,e58mag,d58mag,k80mag,e80mag,d80mag,k24mag,e24mag,dstArcSec,RAJ2000,DEJ2000,Jmag,eJmag,Hmag,eHmag,Kmag,eKmag,CMD1region,CMD2region,CMD3region
434,435,296.29714,-14.802579999999999,14.12,0.04,-0.04,13.9,0.06,-0.03,13.71,0.03,-0.04,13.59,0.08,0.27,12.88,-9999.0,0.423534923435077,296.29702799999995,-14.802626,16.820999999999998,0.021,15.758,0.012,14.954,0.009000000000000001,4,5,4
581,582,296.30014,-14.87876,14.54,0.03,-0.05,14.2,0.08,-0.06,13.91,0.03,-0.06,13.96,0.08,0.28,12.54,-9999.0,0.128881017415627,296.30011,-14.878739000000001,17.512999999999998,0.035,16.352,0.019,15.51,0.013000000000000001,4,5,4
583,584,296.10659,-14.802979999999998,14.63,0.06,-0.09,14.2,0.03,-0.03,13.86,0.03,-0.09,13.52,0.02,-0.1,11.95,0.19,0.29798340407511603,296.106506,-14.802964000000001,17.82,0.046,16.91,0.031,15.984000000000002,0.018000000000000002,4,5,4
588,589,296.11609,-14.881079999999999,14.46,0.05,-0.01,14.21,0.05,-0.05,13.62,0.02,-0.01,13.1,0.05,0.06,11.05,0.09,0.14779584971356,296.116058,-14.881053,17.31,0.031,16.25,0.018000000000000002,15.45,0.012,4,5,4
631,632,296.24124,-14.723729999999998,14.25,0.07,-0.05,14.29,0.04,-0.07,14.41,0.03,-0.01,13.78,0.04,0.0,12.36,-9999.0,0.347931560017089,296.24115,-14.723688000000001,17.137999999999998,0.025,15.831,0.01,15.058,0.008,4,5,4
702,703,296.20325,-14.827929999999999,14.98,0.04,-0.07,14.4,0.05,-0.07,13.87,0.03,-0.05,13.51,0.04,0.03,11.16,0.14,0.550307391199354,296.203094,-14.827955,18.054000000000002,0.055999999999999994,17.213,0.040999999999999995,16.374000000000002,0.025,4,5,4
732,733,296.27338,-14.791970000000001,14.39,0.05,-0.08,14.46,0.05,-0.07,14.72,0.09,0.06,13.97,0.05,-0.05,12.76,-9999.0,0.16021610708015802,296.273346,-14.791939999999999,17.184,0.027999999999999997,16.008,0.015,15.174000000000001,0.01,4,5,4
791,792,296.30627999999996,-14.86306,14.7,0.08,0.12,14.55,0.05,-0.05,14.44,0.04,-0.05,14.06,0.05,-0.08,12.73,-9999.0,0.3590251559454721,296.30618300000003,-14.863026000000001,17.451,0.033,16.284000000000002,0.018000000000000002,15.489,0.012,4,5,4
812,813,296.17186,-14.88967,14.53,0.03,-0.02,14.58,0.05,-0.03,14.49,0.05,-0.12,14.06,0.03,0.13,12.23,-9999.0,0.10277964571910901,296.171844,-14.889694,17.222,0.028999999999999998,16.067999999999998,0.015,15.304,0.011000000000000001,4,5,4
818,819,296.26358999999997,-14.80887,14.47,0.06,-0.03,14.59,0.07,-0.02,14.99,0.13,0.34,14.3,0.06,0.07,13.04,-9999.0,0.254575668378193,296.263519,-14.808853,17.291,0.03,16.131,0.016,15.238,0.01,4,5,4
834,835,296.20212000000004,-14.76901,14.44,0.04,-0.03,14.62,0.06,-0.01,14.41,0.06,0.02,13.77,0.04,0.04,10.92,0.11,0.11181695371301,296.20211800000004,-14.769041,17.342,0.031,16.167,0.017,15.28,0.011000000000000001,4,5,4
835,836,296.22834,-14.789779999999999,14.55,0.05,-0.05,14.62,0.05,-0.12,14.62,0.03,-0.2,14.25,0.03,0.11,11.83,0.2,0.25178780864649,296.228271,-14.789801,17.427,0.034,16.175,0.017,15.345,0.011000000000000001,4,5,4
888,889,296.24478,-14.84503,15.03,0.05,0.0,14.67,0.05,-0.05,14.24,0.06,-0.18,14.17,0.05,-0.09,12.59,-9999.0,0.128283097780515,296.24475099999995,-14.845007999999998,17.719,0.043,16.678,0.026000000000000002,16.005,0.019,4,5,4
974,975,296.29329,-14.76405,14.88,0.03,-0.03,14.77,0.02,-0.06,14.49,0.02,-0.04,14.25,0.04,-0.16,11.76,-9999.0,0.27674475449340397,296.293243,-14.763988000000001,17.602999999999998,0.038,16.532,0.022000000000000002,15.764000000000001,0.016,4,5,4
1000,1001,296.25169,-14.736289999999999,15.06,0.04,-0.05,14.79,0.05,-0.11,14.7,0.04,0.0,14.09,0.05,0.34,10.68,0.09,0.261420260558802,296.251617,-14.736273,18.012,0.053,16.972,0.033,15.977,0.019,4,5,4
1005,1006,296.24419,-14.81313,14.65,0.07,-0.12,14.79,0.06,-0.12,14.84,0.05,-0.22,14.33,0.05,-0.16,12.92,-9999.0,0.17684235240871302,296.244141,-14.813117000000002,17.32,0.031,16.187,0.017,15.349,0.011000000000000001,4,5,4
