,ID,RA,Dec,k36mag,e36mag,d36mag,k45mag,e45mag,d45mag,k58mag,e58mag,d58mag,k80mag,e80mag,d80mag,k24mag,e24mag,dstArcSec,RAJ2000,DEJ2000,Jmag,eJmag,Hmag,eHmag,Kmag,eKmag,CMD1region,CMD2region,CMD3region
511,512,296.18045,-14.804179999999999,15.52,0.08,0.98,14.05,0.06,-0.03,13.69,0.06,-0.08,13.52,0.04,-0.07,12.4,-9999.0,0.0251999999929907,296.18045,-14.804173,17.734,0.043,16.701,0.026000000000000002,15.782,0.016,4,4,4
626,627,296.22061,-14.80001,14.26,0.05,0.19,14.28,0.06,0.06,14.25,0.04,0.1,13.76,0.05,0.19,12.66,-9999.0,0.418225836118432,296.22049,-14.800016000000001,16.804000000000002,0.021,15.657,0.011000000000000001,14.908,0.008,4,4,4
635,636,296.22884,-14.804329999999998,14.74,0.04,0.03,14.3,0.04,-0.06,14.01,0.03,-0.09,13.89,0.08,0.04,12.19,-9999.0,0.0721286184001237,296.228821,-14.804322,17.086,0.026000000000000002,16.074,0.016,15.41,0.012,4,4,4
675,676,296.24717000000004,-14.839170000000001,14.57,0.05,-0.07,14.37,0.05,-0.05,14.23,0.06,0.02,13.82,0.02,0.04,12.26,-9999.0,0.35215829349686206,296.24707,-14.839154999999998,17.105999999999998,0.026000000000000002,16.009,0.015,15.305,0.011000000000000001,4,4,4
706,707,296.20164,-14.886339999999999,14.34,0.05,-0.01,14.41,0.05,-0.08,14.49,0.07,0.01,14.09,0.05,-0.11,11.15,-9999.0,0.0767569033616937,296.20166,-14.886331,16.685,0.019,15.619000000000002,0.011000000000000001,15.007,0.009000000000000001,4,4,4
721,722,296.22674,-14.75058,14.43,0.05,-0.04,14.45,0.06,-0.03,14.15,0.06,-0.06,13.67,0.04,-0.2,11.91,0.11,0.0888757581189243,296.226715,-14.750575,16.969,0.024,15.800999999999998,0.013000000000000001,15.022,0.009000000000000001,4,4,4
736,737,296.38275,-14.7522,14.74,0.05,-0.03,14.46,0.07,-0.09,14.35,0.08,-0.03,13.9,0.05,-0.02,12.36,0.25,0.208879810801518,296.38268999999997,-14.7522,17.007,0.021,16.04,0.013000000000000001,15.491,0.012,4,4,4
776,777,296.2408,-14.8036,14.45,0.05,-0.04,14.53,0.03,-0.08,14.43,0.05,-0.13,14.07,0.05,-0.23,11.64,0.14,0.18499898118780397,296.240753,-14.803576000000001,16.778,0.02,15.759,0.012,15.077,0.009000000000000001,4,4,4
784,785,296.23201,-14.837929999999998,14.44,0.06,-0.07,14.54,0.06,-0.04,14.4,0.04,-0.17,13.72,0.05,-0.14,10.44,0.09,0.0860426013292898,296.23199500000004,-14.837910999999998,16.734,0.02,15.674000000000001,0.011000000000000001,15.030999999999999,0.009000000000000001,4,4,4
786,787,296.16398,-14.82744,14.61,0.06,-0.06,14.55,0.05,-0.05,14.36,0.03,-0.04,14.07,0.06,-0.11,12.01,0.1,0.298672096248553,296.16391,-14.827392000000001,17.105,0.026000000000000002,15.991,0.015,15.210999999999999,0.01,4,4,4
799,800,296.21513999999996,-14.809379999999999,14.48,0.04,-0.03,14.55,0.06,-0.04,14.38,0.06,-0.19,13.97,0.04,-0.08,11.85,-9999.0,0.18101730830225798,296.215088,-14.809381,17.090999999999998,0.026000000000000002,16.048,0.016,15.262,0.011000000000000001,4,4,4
805,806,296.24889,-14.764970000000002,14.5,0.04,-0.06,14.56,0.04,-0.09,14.62,0.04,0.02,14.12,0.04,0.23,11.07,0.08,0.0707793989680946,296.248871,-14.764976999999998,17.11,0.026000000000000002,15.994000000000002,0.015,15.228,0.01,4,4,4
820,821,296.2819,-14.788020000000001,14.86,0.05,0.16,14.59,0.03,0.09,14.18,0.08,-0.04,14.01,0.04,0.13,12.01,0.26,0.190213636324928,296.28186,-14.787984,17.08,0.025,16.202,0.017,15.618,0.013999999999999999,4,4,4
821,822,296.1744,-14.818579999999999,14.63,0.05,0.09,14.59,0.04,-0.05,14.48,0.08,0.03,13.88,0.03,-0.05,11.98,0.22,0.29665502197772803,296.17431600000003,-14.818566,16.724,0.02,15.694,0.012,15.105,0.01,4,4,4
851,852,296.31192000000004,-14.72875,14.98,0.05,0.01,14.64,0.07,-0.02,14.37,0.06,-0.01,14.01,0.04,0.02,12.69,-9999.0,0.21240000000352902,296.31192000000004,-14.728691,17.538,0.036000000000000004,16.72,0.027000000000000003,15.967,0.026000000000000002,4,4,4
855,856,296.24408999999997,-14.80405,14.5,0.04,-0.15,14.64,0.03,-0.07,14.5,0.05,-0.36,14.23,0.05,-0.53,11.75,-9999.0,0.145577685357172,296.244049,-14.804058,17.057000000000002,0.025,16.012,0.015,15.241,0.01,4,4,4
872,873,296.22643999999997,-14.76738,14.85,0.05,0.0,14.66,0.08,-0.05,14.49,0.05,-0.11,14.28,0.04,0.0,12.44,-9999.0,0.214290450970352,296.226379,-14.767388,17.171,0.027999999999999997,16.33,0.02,15.65,0.013999999999999999,4,4,4
