,ID,RA,Dec,k36mag,e36mag,d36mag,k45mag,e45mag,d45mag,k58mag,e58mag,d58mag,k80mag,e80mag,d80mag,k24mag,e24mag,dstArcSec,RAJ2000,DEJ2000,Jmag,eJmag,Hmag,eHmag,Kmag,eKmag,CMD1region,CMD2region,CMD3region
511,512,296.18045,-14.80418,15.52,0.08,0.98,14.05,0.06,-0.03,13.69,0.06,-0.08,13.52,0.04,-0.07,12.4,-9999,0.0252,296.18045,-14.804173,17.734,0.043,16.701,0.026,15.782,0.016,4,4,4
545,546,296.23884,-14.85754,14.15,0.06,-0.03,14.13,0.07,-0.09,13.98,0.05,-0.18,13.61,0.02,-0.05,12.14,-9999,0.244874842,296.23877,-14.857533,16.51,0.017,15.424,0.009,14.684,0.007,4,3,4
626,627,296.22061,-14.80001,14.26,0.05,0.19,14.28,0.06,0.06,14.25,0.04,0.1,13.76,0.05,0.19,12.66,-9999,0.418225836,296.22049,-14.800016,16.804,0.021,15.657,0.011,14.908,0.008,4,4,4
635,636,296.22884,-14.80433,14.74,0.04,0.03,14.3,0.04,-0.06,14.01,0.03,-0.09,13.89,0.08,0.04,12.19,-9999,0.072128618,296.228821,-14.804322,17.086,0.026,16.074,0.016,15.41,0.012,4,4,4
675,676,296.24717,-14.83917,14.57,0.05,-0.07,14.37,0.05,-0.05,14.23,0.06,0.02,13.82,0.02,0.04,12.26,-9999,0.352158293,296.24707,-14.839155,17.106,0.026,16.009,0.015,15.305,0.011,4,4,4
706,707,296.20164,-14.88634,14.34,0.05,-0.01,14.41,0.05,-0.08,14.49,0.07,0.01,14.09,0.05,-0.11,11.15,-9999,0.076756903,296.20166,-14.886331,16.685,0.019,15.619,0.011,15.007,0.009,4,4,4
721,722,296.22674,-14.75058,14.43,0.05,-0.04,14.45,0.06,-0.03,14.15,0.06,-0.06,13.67,0.04,-0.2,11.91,0.11,0.088875758,296.226715,-14.750575,16.969,0.024,15.801,0.013,15.022,0.009,4,4,4
736,737,296.38275,-14.7522,14.74,0.05,-0.03,14.46,0.07,-0.09,14.35,0.08,-0.03,13.9,0.05,-0.02,12.36,0.25,0.208879811,296.38269,-14.7522,17.007,0.021,16.04,0.013,15.491,0.012,4,4,4
776,777,296.2408,-14.8036,14.45,0.05,-0.04,14.53,0.03,-0.08,14.43,0.05,-0.13,14.07,0.05,-0.23,11.64,0.14,0.184998981,296.240753,-14.803576,16.778,0.02,15.759,0.012,15.077,0.009,4,4,4
784,785,296.23201,-14.83793,14.44,0.06,-0.07,14.54,0.06,-0.04,14.4,0.04,-0.17,13.72,0.05,-0.14,10.44,0.09,0.086042601,296.231995,-14.837911,16.734,0.02,15.674,0.011,15.031,0.009,4,4,4
786,787,296.16398,-14.82744,14.61,0.06,-0.06,14.55,0.05,-0.05,14.36,0.03,-0.04,14.07,0.06,-0.11,12.01,0.1,0.298672096,296.16391,-14.827392,17.105,0.026,15.991,0.015,15.211,0.01,4,4,4
793,794,296.32658,-14.64138,14.44,0.09,-0.07,14.55,0.05,-0.08,14.48,0.09,0,13.92,0.07,0,11.98,-9999,0.147393293,296.326538,-14.641375,16.649,0.017,15.697,0.009,15.114,0.009,4,3,4
795,796,296.1795,-14.75292,14.65,0.04,-0.03,14.55,0.05,-0.06,14.41,0.06,-0.04,14.16,0.14,-0.01,12.29,0.27,0.198956968,296.179443,-14.752916,16.663,0.019,15.734,0.012,15.234,0.01,4,3,4
799,800,296.21514,-14.80938,14.48,0.04,-0.03,14.55,0.06,-0.04,14.38,0.06,-0.19,13.97,0.04,-0.08,11.85,-9999,0.181017308,296.215088,-14.809381,17.091,0.026,16.048,0.016,15.262,0.011,4,4,4
805,806,296.24889,-14.76497,14.5,0.04,-0.06,14.56,0.04,-0.09,14.62,0.04,0.02,14.12,0.04,0.23,11.07,0.08,0.070779399,296.248871,-14.764977,17.11,0.026,15.994,0.015,15.228,0.01,4,4,4
