,ID,RA,Dec,k36mag,e36mag,d36mag,k45mag,e45mag,d45mag,k58mag,e58mag,d58mag,k80mag,e80mag,d80mag,k24mag,e24mag,dstArcSec,RAJ2000,DEJ2000,Jmag,eJmag,Hmag,eHmag,Kmag,eKmag,CMD1region,CMD2region,CMD3region
93,94,296.19855,-14.718229999999998,13.11,0.04,-0.04,12.57,0.04,-0.02,11.96,0.03,0.01,11.61,0.03,0.12,11.01,0.07,0.11630316664838901,296.198517,-14.718225,18.579,0.081,16.801,0.022000000000000002,15.277999999999999,0.01,5,5,4
101,102,296.38612,-14.854779999999998,13.34,0.04,-0.04,12.61,0.07,-0.05,12.2,0.08,0.01,11.9,0.03,0.1,10.39,0.07,0.4465700080574989,296.386017,-14.854854000000001,19.305,0.125,17.554000000000002,0.045,15.860999999999999,0.016,5,5,4
116,117,296.42593999999997,-14.78076,13.5,0.1,0.03,12.75,0.12,0.02,12.53,0.07,0.1,11.89,0.06,0.02,11.58,0.3,0.0940496119119939,296.425964,-14.780772,19.301,0.125,17.178,0.032,15.225,0.01,5,5,4
152,153,296.25735,-14.77634,13.54,0.05,-0.04,12.96,0.05,-0.05,12.59,0.04,0.01,11.99,0.05,-0.05,11.92,0.25,0.21178916337599898,296.257294,-14.776363,18.777,0.1,17.017,0.034,15.449000000000002,0.012,5,5,4
163,164,296.36525,-14.7382,13.68,0.07,-0.04,13.01,0.07,-0.09,12.44,0.06,0.01,11.81,0.02,0.05,10.28,0.09,0.377519883851197,296.365143,-14.738217,18.52,0.066,16.849,0.025,15.162,0.009000000000000001,5,5,4
179,180,296.35531000000003,-14.719870000000002,13.58,0.05,-0.07,13.11,0.06,-0.09,12.72,0.04,-0.03,12.29,0.03,0.09,11.25,0.06,0.252864464566423,296.355316,-14.7198,17.886,0.04,16.389,0.017,15.039000000000001,0.009000000000000001,5,5,4
202,203,296.19678999999996,-14.7511,13.94,0.04,-0.06,13.22,0.03,-0.07,12.59,0.03,-0.04,11.91,0.02,0.06,10.58,0.08,0.16172482607089902,296.196747,-14.751083,18.738,0.098,16.730999999999998,0.027000000000000003,15.035,0.009000000000000001,5,5,4
242,243,296.15348,-14.74935,14.07,0.09,0.0,13.34,0.05,-0.07,12.83,0.02,-0.03,12.32,0.03,0.01,11.24,0.13,0.26988691032790096,296.153412,-14.749314000000002,17.719,0.042,16.32,0.019,14.88,0.008,5,5,4
261,262,296.25351,-14.76931,13.89,0.04,0.01,13.41,0.06,-0.03,13.07,0.04,-0.03,12.69,0.03,0.0,12.6,-9999.0,0.33797732761392796,296.253418,-14.769279999999998,17.572,0.037000000000000005,16.202,0.017,15.035,0.009000000000000001,5,5,4
269,270,296.16417,-14.700999999999999,14.07,0.06,-0.04,13.43,0.02,-0.04,12.78,0.05,-0.04,12.38,0.02,0.02,12.85,-9999.0,0.227818470022832,296.164124,-14.700954999999999,18.739,0.09300000000000001,16.924,0.024,15.354000000000001,0.01,5,5,4
285,286,296.27052000000003,-14.734760000000001,14.01,0.06,-0.03,13.47,0.05,-0.06,13.07,0.03,-0.04,12.67,0.03,0.08,11.86,0.22,0.254007628685155,296.270477,-14.734817000000001,17.683,0.040999999999999995,16.383,0.02,15.152999999999999,0.01,5,5,4
298,299,296.26108,-14.73758,13.9,0.05,-0.03,13.51,0.05,-0.05,13.18,0.05,0.01,12.74,0.03,0.03,13.32,-9999.0,0.12039968000213001,296.261047,-14.737570000000002,17.45,0.034,16.119,0.016,15.07,0.009000000000000001,5,5,4
312,313,296.25864,-14.73678,14.14,0.04,-0.03,13.53,0.02,-0.09,12.98,0.05,-0.03,12.06,0.04,0.01,9.97,0.04,0.47836684022546,296.258545,-14.736684,17.718,0.042,16.366,0.02,15.452,0.013000000000000001,5,5,4
