,ID,RA,Dec,k36mag,e36mag,d36mag,k45mag,e45mag,d45mag,k58mag,e58mag,d58mag,k80mag,e80mag,d80mag,k24mag,e24mag,dstArcSec,RAJ2000,DEJ2000,Jmag,eJmag,Hmag,eHmag,Kmag,eKmag,CMD1region,CMD2region,CMD3region
767,768,296.05467000000004,-14.714620000000002,14.61,0.08,0.07,14.51,0.06,-0.02,14.65,0.06,0.04,14.5,0.06,-0.25,13.24,-9999.0,0.15320495061154,296.054626,-14.714620000000002,15.357999999999999,0.008,14.754000000000001,0.005,14.583,0.006,2,1,2
830,831,296.23635,-14.645710000000001,15.06,0.16,0.38,14.61,0.07,-0.08,14.87,0.05,0.16,14.65,0.04,0.16,12.6,-9999.0,0.0818601143377417,296.23632799999996,-14.645701999999998,15.630999999999998,0.009000000000000001,14.972999999999999,0.006,14.789000000000001,0.006999999999999999,2,1,2
832,833,296.15397,-14.728370000000002,14.63,0.06,0.01,14.62,0.05,-0.01,14.56,0.06,-0.04,14.65,0.07,0.23,12.22,-9999.0,0.34818972692072697,296.15387000000004,-14.728369,15.258,0.008,14.692,0.006,14.577,0.006999999999999999,2,1,2
865,866,296.21477000000004,-14.912970000000001,14.58,0.03,-0.02,14.65,0.04,-0.02,14.57,0.04,-0.09,14.49,0.06,-0.38,12.53,-9999.0,0.29398268592727805,296.214691,-14.912999,15.343,0.008,14.759,0.006,14.665999999999999,0.006999999999999999,2,1,2
1038,1039,296.17852999999997,-14.69105,14.94,0.11,0.0,14.82,0.07,-0.02,14.68,0.07,-0.06,14.72,0.06,-0.08,12.64,-9999.0,0.229800957559269,296.178467,-14.691031,15.597000000000001,0.009000000000000001,14.974,0.006,14.857999999999999,0.006999999999999999,2,1,2
1066,1067,296.29643,-14.64971,14.97,0.07,-0.02,14.85,0.08,-0.11,14.79,0.07,-0.22,14.82,0.07,0.0,12.35,-9999.0,0.16776667406088902,296.29638700000004,-14.649689000000002,15.747,0.009000000000000001,15.087,0.006,14.97,0.008,2,1,2
1095,1096,296.43557999999996,-14.886029999999998,14.87,0.05,-0.11,14.86,0.07,-0.06,14.95,0.1,0.05,14.95,0.18,-0.45,11.94,-9999.0,0.453797209966459,296.435455,-14.886066,15.613,0.009000000000000001,15.027999999999999,0.006,14.918,0.008,2,1,2
1163,1164,296.11772,-14.94464,14.78,0.07,-0.11,14.91,0.05,-0.02,15.07,0.04,0.25,14.84,0.08,-0.2,11.64,0.18,0.37529518330809897,296.117615,-14.944616,15.554,0.009000000000000001,15.015999999999998,0.006999999999999999,14.869000000000002,0.009000000000000001,2,1,2
1214,1215,296.30602000000005,-14.820720000000001,14.99,0.03,0.2,14.95,0.04,0.22,14.99,0.05,0.23,14.99,0.06,0.09,12.53,-9999.0,0.18267342855205498,296.305969,-14.820707999999998,15.747,0.01,15.159,0.008,15.073,0.009000000000000001,2,1,2
1296,1297,296.03593,-14.711089999999999,15.08,0.1,0.13,15.0,0.08,0.02,14.93,0.1,-0.35,14.7,0.08,-0.28,11.48,0.1,0.22693127000741797,296.035889,-14.711041,15.735999999999999,0.01,15.093,0.006,14.963,0.008,2,1,2
