,ID,RA,Dec,k36mag,e36mag,d36mag,k45mag,e45mag,d45mag,k58mag,e58mag,d58mag,k80mag,e80mag,d80mag,k24mag,e24mag,dstArcSec,RAJ2000,DEJ2000,Jmag,eJmag,Hmag,eHmag,Kmag,eKmag,CMD1region,CMD2region,CMD3region
143,144,296.19922,-14.848020000000002,13.01,0.05,-0.03,12.91,0.06,-0.08,12.69,0.04,0.05,12.45,0.03,0.03,11.41,0.15,0.23240433379588601,296.199158,-14.848044,14.190999999999999,0.004,13.466,0.003,13.224,0.003,2,3,1
157,158,296.14856000000003,-14.70173,13.03,0.05,-0.03,12.99,0.05,-0.09,12.98,0.05,-0.03,12.99,0.03,-0.04,11.66,-9999.0,0.258657902669915,296.148499,-14.701689000000002,14.046,0.004,13.362,0.002,13.165999999999999,0.003,2,2,1
165,166,296.1265,-14.81,13.26,0.08,0.02,13.04,0.04,-0.06,12.87,0.03,-0.04,12.53,0.05,0.01,8.84,0.01,0.141501530209106,296.126465,-14.80998,14.329,0.005,13.686,0.003,13.485,0.004,2,2,1
166,167,296.13371,-14.82412,13.03,0.06,-0.04,13.04,0.08,0.02,12.8,0.04,-0.02,12.85,0.03,0.08,11.35,0.18,0.180430172899505,296.133667,-14.824092000000002,14.027000000000001,0.004,13.322000000000001,0.002,13.115,0.003,2,2,1
174,175,296.22696,-14.801820000000001,13.3,0.06,-0.05,13.09,0.05,-0.02,12.76,0.03,-0.07,12.48,0.04,-0.03,10.82,0.12,0.216871513105993,296.226898,-14.801814000000002,14.258,0.004,13.555,0.003,13.267999999999999,0.003,2,2,1
177,178,296.06714,-14.76498,13.23,0.11,-0.01,13.1,0.1,-0.01,13.08,0.04,-0.07,13.22,0.07,0.14,12.67,0.27,0.09726231664757302,296.067139,-14.764953,14.229000000000001,0.005,13.682,0.003,13.42,0.004,2,2,1
187,188,296.2509,-14.767779999999998,13.35,0.04,-0.03,13.14,0.07,-0.03,12.95,0.02,-0.02,12.76,0.02,0.06,11.11,0.08,0.373101409031383,296.25079300000004,-14.767786,15.312999999999999,0.008,14.626,0.005,14.119000000000002,0.005,3,3,1
195,196,296.309,-14.859470000000002,13.35,0.05,-0.04,13.2,0.04,-0.07,13.17,0.04,-0.03,13.36,0.03,0.01,12.72,-9999.0,0.17185143434294903,296.30896,-14.859442000000001,14.252,0.004,13.693,0.003,13.481,0.003,2,2,1
208,209,296.2873,-14.777029999999998,13.3,0.06,-0.02,13.24,0.07,-0.07,13.29,0.03,-0.03,13.29,0.06,0.0,12.65,-9999.0,0.287713560791522,296.287231,-14.776985999999999,14.161,0.004,13.571,0.003,13.422,0.003,2,2,1
209,210,296.14173,-14.77325,14.13,0.22,0.46,13.25,0.08,-0.1,13.17,0.05,0.0,13.08,0.03,0.01,11.78,0.22,0.234224638636689,296.141663,-14.773244,15.020999999999999,0.006999999999999999,14.218,0.004,13.87,0.004,3,2,4
210,211,296.2401,-14.80786,13.4,0.05,-0.01,13.25,0.04,-0.03,12.98,0.04,-0.01,12.62,0.05,-0.02,11.42,0.25,0.274978168790605,296.240021,-14.807860999999999,14.68,0.005,14.030999999999999,0.004,13.843,0.004,2,3,1
211,212,296.17146,-14.80235,13.12,0.05,-0.08,13.25,0.07,0.0,13.16,0.02,-0.02,13.16,0.03,-0.04,12.45,-9999.0,0.15005180792596698,296.171417,-14.802353,14.067,0.004,13.43,0.003,13.267000000000001,0.003,2,2,1
214,215,296.30174,-14.65182,13.37,0.06,0.01,13.26,0.08,-0.09,13.42,0.14,0.1,13.26,0.05,-0.06,12.58,-9999.0,0.258138843552066,296.301666,-14.651816,14.222999999999999,0.004,13.584000000000001,0.003,13.425999999999998,0.003,2,2,1
216,217,296.28427,-14.92138,13.16,0.05,-0.05,13.26,0.06,-0.06,13.14,0.03,-0.03,13.11,0.05,-0.04,11.94,0.14,0.31340572932706606,296.28418,-14.921384,14.302,0.004,13.549000000000001,0.003,13.352,0.003,2,2,1
217,218,296.34423,-14.78912,13.26,0.06,-0.03,13.26,0.05,-0.04,13.31,0.05,-0.05,13.23,0.06,-0.05,12.36,-9999.0,0.291602700972722,296.344147,-14.789109,14.145999999999999,0.004,13.520999999999999,0.003,13.373,0.003,2,2,1
227,228,296.05884,-14.84961,13.16,0.08,-0.1,13.28,0.07,-0.05,13.13,0.06,-0.05,13.13,0.05,-0.01,12.36,-9999.0,0.329073166669484,296.058746,-14.8496,14.149000000000001,0.005,13.559000000000001,0.003,13.356,0.003,2,2,1
240,241,296.25226000000004,-14.80746,13.27,0.04,-0.04,13.33,0.04,-0.04,13.17,0.04,-0.04,12.98,0.03,0.03,11.36,0.25,0.328154860123154,296.252167,-14.807445000000001,14.533,0.005,13.754000000000001,0.003,13.539000000000001,0.004,2,3,1
247,248,296.20426000000003,-14.74264,13.7,0.05,-0.03,13.36,0.03,-0.05,13.17,0.02,-0.07,13.1,0.04,0.02,11.48,0.16,0.234257324038524,296.20419300000003,-14.742633999999999,15.048,0.006999999999999999,14.173,0.004,13.874,0.004,3,3,1
249,250,296.1676,-14.683570000000001,13.58,0.07,-0.01,13.37,0.09,-0.07,13.48,0.15,0.06,13.38,0.06,-0.05,12.41,-9999.0,0.204562854909323,296.16754199999997,-14.683561,14.448,0.004,13.815999999999999,0.003,13.61,0.004,2,2,1
254,255,296.32013,-14.82705,13.43,0.07,-0.03,13.39,0.05,-0.02,13.31,0.04,-0.04,13.37,0.05,-0.02,13.24,-9999.0,0.119076119904266,296.320099,-14.827035999999998,14.297,0.004,13.673,0.003,13.509,0.003,2,2,1
256,257,296.21488,-14.72236,13.28,0.04,-0.02,13.4,0.04,-0.06,13.18,0.06,-0.01,13.02,0.05,-0.03,8.75,0.07,0.23661830888623003,296.214813,-14.722349,14.405999999999999,0.004,13.616,0.003,13.415,0.003,2,2,1
257,258,296.18769,-14.855179999999999,13.4,0.05,0.01,13.4,0.06,-0.04,13.44,0.09,0.15,13.3,0.04,0.01,12.16,-9999.0,0.128949213497047,296.18765299999995,-14.855178,14.372,0.005,13.648,0.003,13.466,0.003,2,2,1
260,261,296.24239,-14.749,13.37,0.05,-0.02,13.41,0.05,-0.05,13.28,0.03,0.02,13.1,0.04,0.01,10.83,0.1,0.181218659812036,296.24234,-14.748985999999999,14.502,0.005,13.79,0.003,13.595,0.004,2,2,1
