,ID,RA,Dec,k36mag,e36mag,d36mag,k45mag,e45mag,d45mag,k58mag,e58mag,d58mag,k80mag,e80mag,d80mag,k24mag,e24mag,dstArcSec,RAJ2000,DEJ2000,Jmag,eJmag,Hmag,eHmag,Kmag,eKmag,CMD1region,CMD2region,CMD3region
125,126,296.4175,-14.78418,13.09,0.07,0.01,12.83,0.11,-0.11,12.99,0.07,0.02,12.94,0.04,-0.13,12.01,-9999.0,0.28707087286181604,296.417419,-14.784195,13.944,0.004,13.375,0.002,13.147,0.003,2,1,1
178,179,296.23553,-14.84629,13.14,0.04,0.04,13.11,0.07,0.04,13.0,0.05,0.07,13.15,0.06,0.36,11.43,0.19,0.0916141029566528,296.235504,-14.846294,13.946,0.004,13.325,0.002,13.171,0.003,2,1,1
218,219,296.09573,-14.78005,13.19,0.07,-0.09,13.27,0.06,-0.02,13.2,0.06,-0.02,13.25,0.04,0.03,12.16,0.26,0.332606036264583,296.095642,-14.780014000000001,14.011,0.004,13.415,0.003,13.265,0.003,2,1,1
245,246,296.37153,-14.780170000000002,13.47,0.04,0.13,13.35,0.05,0.02,13.29,0.06,0.13,13.38,0.04,0.31,12.0,-9999.0,0.14090076910670402,296.37149,-14.780164000000001,14.177,0.004,13.597999999999999,0.003,13.482999999999999,0.003,2,1,1
255,256,296.07998,-14.672089999999999,13.57,0.08,0.17,13.39,0.04,0.02,13.31,0.08,-0.02,13.38,0.04,-0.01,12.5,-9999.0,0.188060858648916,296.079926,-14.672089999999999,14.206,0.004,13.617,0.003,13.468,0.003,2,1,1
259,260,296.09264,-14.728520000000001,13.53,0.04,0.02,13.41,0.03,-0.06,13.38,0.04,-0.02,13.53,0.06,-0.02,12.27,0.14,0.17442012521795,296.09259,-14.728517000000002,14.198,0.004,13.612,0.003,13.444,0.003,2,1,1
311,312,296.41486000000003,-14.91283,13.78,0.09,0.01,13.53,0.13,0.0,13.47,0.07,-0.09,13.76,0.1,0.11,12.78,-9999.0,0.6533980619138879,296.414673,-14.912813,14.235999999999999,0.004,13.647,0.003,13.527999999999999,0.003,2,1,1
399,400,296.33217,-14.637220000000001,13.85,0.09,-0.02,13.81,0.06,-0.1,14.06,0.18,0.11,13.8,0.06,0.0,12.14,0.26,0.16406450810334,296.332123,-14.637217000000001,14.572000000000001,0.004,14.007,0.003,13.863,0.004,2,1,1
437,438,296.07212000000004,-14.93931,13.83,0.09,0.01,13.91,0.14,0.06,13.73,0.07,-0.05,13.83,0.12,0.17,12.34,-9999.0,0.345274317777161,296.072021,-14.939317,14.603,0.005,13.982999999999999,0.004,13.863,0.005,2,1,1
446,447,296.37697000000003,-14.69873,13.92,0.06,-0.06,13.93,0.12,-0.08,14.1,0.1,0.11,13.97,0.06,-0.19,12.57,-9999.0,0.282921937266018,296.376892,-14.698751999999999,14.710999999999999,0.005,14.136,0.004,14.0,0.004,2,1,1
469,470,296.31158,-14.64834,14.02,0.04,-0.02,13.98,0.07,-0.05,13.97,0.08,-0.02,13.95,0.02,0.08,12.53,-9999.0,0.200123170865013,296.311523,-14.648347,14.783,0.005,14.155,0.004,14.032,0.004,2,1,1
503,504,296.26103,-14.732579999999999,14.02,0.04,-0.06,14.04,0.07,-0.06,14.0,0.06,-0.07,13.92,0.05,-0.18,11.96,0.2,0.262524997642982,296.260956,-14.732594,14.817,0.006,14.206,0.004,14.114,0.005,2,1,1
506,507,296.25102000000004,-14.676770000000001,14.23,0.1,0.16,14.04,0.06,0.08,13.98,0.05,0.04,14.13,0.05,0.21,12.3,-9999.0,0.17471333425257002,296.250977,-14.676795000000002,14.967,0.006,14.298,0.004,14.137,0.005,2,1,1
541,542,296.16651,-14.782829999999999,14.11,0.04,-0.04,14.12,0.07,-0.07,14.01,0.03,-0.06,13.98,0.04,-0.05,12.79,-9999.0,0.243039886251758,296.166443,-14.782810999999999,14.852,0.006,14.279000000000002,0.004,14.151,0.005,2,1,1
544,545,296.21722,-14.79319,14.21,0.09,0.04,14.13,0.05,-0.03,14.15,0.06,0.02,14.07,0.07,-0.16,12.09,-9999.0,0.0839623810156385,296.21722400000004,-14.793167,14.936,0.006,14.345,0.005,14.219000000000001,0.005,2,1,1
569,570,296.29942,-14.69263,14.25,0.05,0.02,14.17,0.05,-0.05,14.08,0.05,0.05,14.36,0.12,0.23,11.84,0.16,0.25430848631841,296.299347,-14.692628,15.01,0.006,14.392999999999999,0.004,14.261,0.005,2,1,1
589,590,296.29523,-14.65947,14.31,0.07,-0.03,14.21,0.09,-0.06,14.03,0.07,-0.13,14.12,0.05,-0.09,12.27,-9999.0,0.23655221907837498,296.295166,-14.659492000000002,14.992,0.006,14.364,0.004,14.262,0.005,2,1,1
644,645,296.34947999999997,-14.882760000000001,14.35,0.04,-0.04,14.32,0.06,-0.06,14.28,0.05,-0.07,14.31,0.04,-0.02,12.69,-9999.0,0.20679289793212302,296.349426,-14.882784,15.107000000000001,0.006999999999999999,14.505999999999998,0.005,14.352,0.006,2,1,1
792,793,296.39867999999996,-14.87212,14.54,0.06,0.14,14.55,0.04,0.16,14.34,0.04,0.17,14.74,0.07,0.62,12.54,-9999.0,0.28272465789224,296.398621,-14.872066,15.305,0.006999999999999999,14.762,0.005,14.624,0.006999999999999999,2,1,1
845,846,296.11779,-14.96535,14.61,0.08,-0.08,14.63,0.06,0.04,14.37,0.07,-0.1,14.72,0.14,-0.07,12.27,-9999.0,0.5097575046513061,296.11767599999996,-14.965260999999998,15.404000000000002,0.008,14.785,0.006,14.613,0.006999999999999999,2,1,1
