,ID,RA,Dec,k36mag,e36mag,d36mag,k45mag,e45mag,d45mag,k58mag,e58mag,d58mag,k80mag,e80mag,d80mag,k24mag,e24mag,dstArcSec,RAJ2000,DEJ2000,Jmag,eJmag,Hmag,eHmag,Kmag,eKmag,CMD1region,CMD2region,CMD3region
759,760,296.37789,-14.745410000000001,14.76,0.18,1.32,14.51,0.05,0.7,13.01,0.01,-9999.0,14.91,0.1,2.39,10.13,0.06,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,2
894,895,296.27212000000003,-14.831489999999999,14.84,0.06,0.12,14.68,0.05,0.09,14.51,0.05,0.18,14.56,0.19,0.42,12.56,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,2
967,968,296.25287000000003,-14.77035,14.79,0.04,0.44,14.76,0.1,0.46,14.55,0.05,0.44,14.54,0.09,0.89,12.31,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,2
1023,1024,296.20544,-14.744660000000001,14.78,0.04,0.06,14.81,0.06,0.0,14.69,0.03,-0.15,14.65,0.07,-0.29,12.62,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,2
1036,1037,296.27564,-14.774429999999999,14.86,0.06,-0.05,14.82,0.05,-0.08,14.79,0.05,-0.17,15.01,0.12,0.01,12.17,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,2
1060,1061,296.4196,-14.84131,15.1,0.07,0.18,14.84,0.07,0.29,14.72,0.06,0.0,15.57,0.18,0.83,12.15,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,2
1084,1085,296.36966,-14.78604,15.1,0.06,0.24,14.86,0.05,0.25,14.99,0.06,0.3,14.78,0.06,0.24,12.91,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,2
1091,1092,296.22325,-14.81971,14.8,0.08,0.2,14.86,0.09,0.26,14.83,0.06,0.41,14.8,0.05,0.13,12.66,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,2
1105,1106,296.22378,-14.736529999999998,14.87,0.08,1.11,14.87,0.07,1.1,15.03,0.11,1.27,15.13,0.13,1.41,11.65,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,2
1117,1118,296.23458999999997,-14.732339999999999,14.78,0.06,-0.01,14.88,0.05,0.08,15.41,0.1,0.43,14.89,0.1,-1.07,12.41,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,2
1120,1121,296.08317999999997,-14.79685,15.24,0.08,0.4,14.88,0.06,0.05,14.8,0.03,0.03,14.98,0.09,0.27,12.39,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,2
1130,1131,296.23334,-14.81589,14.9,0.06,0.41,14.89,0.04,0.42,14.83,0.06,0.37,14.79,0.09,0.35,12.16,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,2
1131,1132,296.08245,-14.74034,14.98,0.08,0.09,14.89,0.07,-0.02,14.66,0.06,-0.2,15.04,0.13,0.09,12.54,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,2
1136,1137,296.08051,-14.85869,15.17,0.05,0.5,14.89,0.09,0.24,14.69,0.1,0.3,14.86,0.09,0.13,12.29,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,2
1138,1139,296.22636,-14.826270000000001,14.87,0.08,0.98,14.9,0.08,0.91,14.19,0.08,0.21,15.1,0.11,1.18,12.59,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,2
1168,1169,296.21673,-14.82293,14.79,0.05,0.03,14.91,0.04,0.04,15.0,0.04,0.03,14.64,0.07,0.26,11.68,0.15,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,2
1172,1173,296.22385,-14.80525,14.87,0.07,0.04,14.92,0.07,-0.04,15.33,0.04,0.27,14.62,0.05,-0.08,12.93,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,2
1198,1199,296.23262,-14.815520000000001,14.86,0.08,1.34,14.93,0.08,1.41,14.54,0.12,1.08,14.73,0.09,1.29,11.92,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,2
1220,1221,296.36277,-14.67559,15.21,0.06,0.07,14.95,0.05,0.03,15.27,0.07,0.21,14.84,0.07,0.25,12.55,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,2
1242,1243,296.24363,-14.801160000000001,14.9,0.05,0.47,14.96,0.02,0.4,14.97,0.06,0.42,15.13,0.09,0.91,12.01,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,2
1255,1256,296.21556,-14.67363,15.0,0.05,0.02,14.97,0.05,0.03,15.05,0.05,0.17,15.07,0.04,0.39,12.85,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,2
1266,1267,296.2131,-14.850810000000001,15.26,0.07,0.06,14.98,0.08,0.07,15.29,0.06,0.18,15.12,0.07,0.05,12.73,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,2
1267,1268,296.23901,-14.79064,14.92,0.05,0.17,14.98,0.04,0.14,14.86,0.05,-0.01,14.93,0.06,0.02,12.36,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,2
1303,1304,296.36998,-14.83565,15.07,0.06,0.2,15.0,0.04,0.08,14.73,0.05,-0.09,14.87,0.06,-0.23,13.28,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,2
1305,1306,296.16446,-14.70819,15.71,0.14,1.6,15.01,0.08,0.72,15.25,0.11,1.66,15.7,0.11,2.43,10.61,0.08,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,2
1313,1314,296.32086,-14.794989999999999,15.0,0.08,0.26,15.01,0.06,0.21,14.91,0.04,-0.25,14.98,0.07,0.75,10.82,0.09,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,2
1318,1319,296.39895,-14.86536,15.34,0.05,0.26,15.02,0.1,-0.06,15.03,0.06,-0.18,15.49,0.07,0.41,12.51,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,2
1335,1336,296.26212000000004,-14.707529999999998,14.97,0.05,-0.01,15.03,0.06,0.0,15.28,0.06,0.31,14.67,0.06,-0.32,12.54,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,2
1342,1343,296.20142000000004,-14.86709,14.94,0.07,0.13,15.03,0.06,0.16,14.94,0.05,0.33,15.02,0.07,-0.13,11.81,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,2
1344,1345,296.24019,-14.77731,14.77,0.05,0.29,15.03,0.05,0.49,14.99,0.11,0.43,14.92,0.05,0.45,12.26,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,2
1349,1350,296.23364,-14.85631,15.04,0.05,0.09,15.04,0.06,0.07,15.0,0.04,0.15,14.66,0.06,-0.41,13.17,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,2
1364,1365,296.31281,-14.68234,14.98,0.05,0.22,15.05,0.07,0.25,14.96,0.05,0.23,14.98,0.06,0.05,12.33,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,2
