,ID,RA,Dec,k36mag,e36mag,d36mag,k45mag,e45mag,d45mag,k58mag,e58mag,d58mag,k80mag,e80mag,d80mag,k24mag,e24mag,dstArcSec,RAJ2000,DEJ2000,Jmag,eJmag,Hmag,eHmag,Kmag,eKmag,CMD1region,CMD2region,CMD3region
2528,2529,296.4075,-14.91906,19.07,0.17,0.37,15.69,0.21,-0.1,17.01,0.14,-0.18,15.86,-9999.0,-9999.0,12.48,0.25,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999
3375,3376,296.39055,-14.64354,16.21,0.09,0.05,16.01,0.09,-0.08,15.52,0.1,0.01,16.56,-9999.0,-9999.0,12.41,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999
3613,3614,296.4145,-14.80781,16.52,0.11,0.19,16.09,0.05,0.05,16.03,0.1,-0.25,16.2,-9999.0,-9999.0,11.64,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999
3687,3688,296.2492,-14.79319,15.91,0.06,-0.01,16.11,0.05,0.12,15.88,0.08,-0.66,15.19,-9999.0,-9999.0,11.44,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999
3899,3900,296.25588999999997,-14.78456,16.25,0.06,0.02,16.17,0.05,-0.07,15.85,0.07,-0.38,16.34,-9999.0,-9999.0,13.02,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999
4006,4007,296.26987,-14.766470000000002,16.24,0.07,0.44,16.21,0.04,0.42,16.02,0.08,0.01,16.35,-9999.0,-9999.0,12.3,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999
4226,4227,296.2522,-14.94581,16.48,0.07,0.94,16.27,0.09,0.44,16.19,0.09,0.46,15.66,-9999.0,-9999.0,12.52,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999
4532,4533,296.43321000000003,-14.82065,16.53,0.12,0.1,16.35,0.11,-0.07,16.41,0.08,-9999.0,15.75,-9999.0,-9999.0,12.05,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999
4653,4654,296.29531000000003,-14.74035,16.36,0.05,-0.08,16.38,0.05,-0.14,16.25,0.08,-9999.0,16.41,-9999.0,-9999.0,12.31,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999
4711,4712,296.42215,-14.84079,16.6,0.05,-0.14,16.39,0.05,-0.19,15.79,0.1,-0.42,16.16,-9999.0,-9999.0,12.42,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999
