,ID,RA,Dec,k36mag,e36mag,d36mag,k45mag,e45mag,d45mag,k58mag,e58mag,d58mag,k80mag,e80mag,d80mag,k24mag,e24mag,dstArcSec,RAJ2000,DEJ2000,Jmag,eJmag,Hmag,eHmag,Kmag,eKmag,CMD1region,CMD2region,CMD3region
0,48,296.21986,-14.72059,12.92,0.08,0.32,11.99,0.03,0.3,10.97,0.06,0.54,9.49,0.08,0.63,3.11,0.01,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,5
1,84,296.22,-14.7198,13.77,0.1,1.09,12.49,0.07,0.74,11.57,0.06,1.03,10.46,0.04,1.56,2.97,0.01,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,5
2,141,296.17762999999997,-14.84184,13.83,0.07,0.07,12.91,0.07,0.06,11.7,0.02,0.06,10.24,0.05,0.16,4.9,0.01,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,5
3,169,296.20187999999996,-14.8746,14.26,0.06,0.19,13.05,0.06,-0.02,11.53,0.04,0.05,10.07,0.06,0.38,4.37,0.01,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,5
4,198,296.2206,-14.71969,13.36,0.09,0.48,13.21,0.11,1.16,12.15,0.1,1.4,10.71,0.07,1.7,3.18,0.01,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,5
5,342,296.28421000000003,-14.811879999999999,13.8,0.05,-0.07,13.63,0.08,0.0,13.34,0.05,-0.07,13.07,0.02,-0.16,10.94,-9999.0,0.320153078435729,296.284119,-14.811867000000001,16.919,0.022000000000000002,15.692,0.012,14.777999999999999,0.008,5,5,1
6,435,296.29714,-14.802579999999999,14.12,0.04,-0.04,13.9,0.06,-0.03,13.71,0.03,-0.04,13.59,0.08,0.27,12.88,-9999.0,0.423534923435077,296.29702799999995,-14.802626,16.820999999999998,0.021,15.758,0.012,14.954,0.009000000000000001,4,5,4
7,448,296.23812999999996,-14.797139999999999,14.69,0.09,0.1,13.93,0.07,0.05,12.93,0.05,0.68,11.77,0.08,1.09,7.08,0.01,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,5
8,515,296.21898,-14.71933,14.74,0.1,0.55,14.06,0.11,0.6,12.68,0.09,0.91,11.36,0.07,1.28,3.65,0.01,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,5
9,565,296.22632000000004,-14.725470000000001,14.43,0.05,-0.01,14.16,0.05,-0.03,13.76,0.02,-0.01,13.51,0.04,-0.06,10.13,-9999.0,0.242928189110827,296.226257,-14.725441,18.179000000000002,0.061,16.671,0.025,15.627,0.013999999999999999,5,5,4
