ID,RA,Dec,k80mag,e80mag,k24mag,e24mag,eightzeroMINUStwentyfour,ERROReightzeroMINUStwentyfour
1,296.37946,-14.74545,9.34,0.04,8.8,0.01,0.54,0.041231056
2,296.23211,-14.72759,9.24,0.04,9.13,0.02,0.11,0.04472136
3,296.31297,-14.77366,9.34,0.01,9.08,0.03,0.26,0.031622777
4,296.32372,-14.71925,9.59,0.04,9.3,0.02,0.29,0.04472136
5,296.13722,-14.94461,9.72,0.02,9.37,0.02,0.35,0.028284271
6,296.16602,-14.70821,9.76,0.01,9.54,0.03,0.22,0.031622777
7,296.235,-14.76056,9.9,0.03,9.68,0.03,0.22,0.042426407
8,296.22692,-14.73998,9.8,0.02,9.77,0.04,0.03,0.04472136
9,296.34638,-14.65813,9.9,0.03,9.73,0.04,0.17,0.05
10,296.39491,-14.7222,10.2,0.03,10.1,0.03,0.1,0.042426407
11,296.29394,-14.78752,10.37,0.04,10.23,0.05,0.14,0.064031242
12,296.36513,-14.63382,10.49,0.04,10.25,0.07,0.24,0.080622577
13,296.29585,-14.73476,10.46,0.04,10.56,0.07,-0.1,0.080622577
14,296.20078,-14.86514,10.41,0.05,10.57,0.09,-0.16,0.102956301
15,296.19544,-14.76783,10.92,0.01,10.4,0.09,0.52,0.090553851
16,296.11035,-14.93975,10.98,0.09,10.67,0.11,0.31,0.142126704
17,296.03273,-14.71501,11.06,0.04,10.65,0.09,0.41,0.098488578
18,296.04839,-14.72607,10.38,0.03,10.47,0.09,-0.09,0.09486833
19,296.36713,-14.90611,11.31,0.05,11.58,0.17,-0.27,0.177200451
20,296.10586,-14.74201,10.91,0.03,11.3,0.14,-0.39,0.143178211
21,296.19947,-14.67587,11,0.04,10.89,0.09,0.11,0.098488578
22,296.37241,-14.77913,11.28,0.04,11.4,0.15,-0.12,0.155241747
23,296.31718,-14.81486,11.12,0.02,11.25,0.07,-0.13,0.072801099
24,296.09001,-14.67849,11,0.04,10.78,0.05,0.22,0.064031242
25,296.1117,-14.8854,11.25,0.03,10.79,0.08,0.46,0.085440037
26,296.19023,-14.7782,11.3,0.03,11.65,0.2,-0.35,0.202237484
27,296.28082,-14.79704,9.75,0.04,7.09,0.01,2.66,0.041231056
28,296.27912,-14.87051,11.78,0.02,11.81,0.19,-0.03,0.191049732
29,296.04354,-14.76839,11.72,0.05,11.47,0.18,0.25,0.186815417
30,296.37417,-14.63178,11.51,0.02,11.32,0.1,0.19,0.10198039
31,296.40456,-14.68409,11.98,0.12,11.47,0.15,0.51,0.192093727
32,296.27236,-14.91251,11.35,0.03,12.01,0.17,-0.66,0.172626765
33,296.23234,-14.75985,11.48,0.03,11.76,0.29,-0.28,0.291547595
34,296.43268,-14.88152,10.99,0.06,10.91,0.07,0.08,0.092195445
35,296.35039,-14.75823,11.42,0.03,11.64,0.12,-0.22,0.123693169
36,296.3926,-14.72992,11.77,0.03,11.64,0.13,0.13,0.133416641
37,296.06217,-14.85564,10.96,0.07,10.63,0.11,0.33,0.130384048
38,296.34993,-14.85112,11.65,0.03,11.62,0.17,0.03,0.172626765
39,296.28907,-14.69538,11.83,0.05,12.02,0.28,-0.19,0.284429253
40,296.23916,-14.94049,11.75,0.06,11.45,0.12,0.3,0.134164079
41,296.4073,-14.78313,11.11,0.03,11.09,0.13,0.02,0.133416641
42,296.11413,-14.72153,11.92,0.03,11.51,0.18,0.41,0.182482876
43,296.28662,-14.80418,11.88,0.04,10.96,0.19,0.92,0.194164878
44,296.25082,-14.91508,11.96,0.04,11.67,0.16,0.29,0.164924225
45,296.29738,-14.73665,11.68,0.04,11.42,0.26,0.26,0.263058929
46,296.32462,-14.76248,12.01,0.04,12.52,-9999,-0.51,9999
47,296.1619,-14.95537,11.54,0.05,11.78,0.28,-0.24,0.284429253
48,296.21986,-14.72059,9.49,0.08,3.11,0.01,6.38,0.080622577
49,296.26458,-14.67861,11.95,0.04,12.49,-9999,-0.54,9999
50,296.34868,-14.90366,11.2,0.06,12.93,-9999,-1.73,9999
51,296.29964,-14.9122,12.14,0.04,12.56,-9999,-0.42,9999
52,296.21295,-14.73218,11.14,0.03,9.14,0.01,2,0.031622777
53,296.38939,-14.87467,12.05,0.06,12.62,-9999,-0.57,9999
54,296.31862,-14.78844,11.53,0.07,10.68,0.07,0.85,0.098994949
55,296.23214,-14.86554,12.11,0.06,10.42,0.06,1.69,0.084852814
56,296.39808,-14.63558,12.36,0.05,12.34,-9999,0.02,9999
57,296.28379,-14.81428,11.86,0.04,12.46,-9999,-0.6,9999
58,296.2889,-14.75284,12.06,0.04,12.62,-9999,-0.56,9999
59,296.19692,-14.66896,12.06,0.03,11.61,0.14,0.45,0.143178211
60,296.16444,-14.89521,12.17,0.03,12.58,-9999,-0.41,9999
61,296.35539,-14.63656,12.06,0.03,13.06,-9999,-1,9999
62,296.17662,-14.78313,12.2,0.03,11.55,0.08,0.65,0.085440037
63,296.17007,-14.85616,11.74,0.05,10.78,0.08,0.96,0.094339811
64,296.07762,-14.81015,12.35,0.06,11.87,-9999,0.48,9999
65,296.36151,-14.76405,12.29,0.03,12.33,-9999,-0.04,9999
66,296.22735,-14.85768,11.87,0.03,11.05,0.12,0.82,0.123693169
67,296.14092,-14.90703,12.29,0.06,11.56,0.09,0.73,0.108166538
68,296.15971,-14.95473,12.16,0.06,11.86,0.19,0.3,0.199248588
69,296.11811,-14.86657,12.42,0.03,11.76,0.23,0.66,0.23194827
70,296.22841,-14.73003,11.65,0.04,10.09,0.03,1.56,0.05
71,296.35894,-14.75666,12.39,0.04,12.82,-9999,-0.43,9999
72,296.24165,-14.8949,12.25,0.05,12.23,-9999,0.02,9999
73,296.26778,-14.89674,12.36,0.03,11.68,0.26,0.68,0.261725047
74,296.23886,-14.82236,12.06,0.05,10.37,0.06,1.69,0.078102497
75,296.15389,-14.66145,12.47,0.02,12.57,-9999,-0.1,9999
76,296.20578,-14.89952,11.67,0.04,11.6,0.12,0.07,0.126491106
77,296.25895,-14.88794,11.07,0.03,8.97,0.01,2.1,0.031622777
78,296.06897,-14.77061,12.33,0.05,12.02,-9999,0.31,9999
79,296.2188,-14.67693,12.41,0.04,11.18,0.08,1.23,0.089442719
80,296.06112,-14.7089,12.48,0.03,11.59,0.17,0.89,0.172626765
81,296.39467,-14.86896,12.53,0.05,12.19,0.29,0.34,0.294278779
82,296.12245,-14.70961,12.4,0.04,12.13,0.27,0.27,0.272946881
83,296.18538,-14.88825,12.43,0.03,12.45,0.24,-0.02,0.241867732
84,296.22,-14.7198,10.46,0.04,2.97,0.01,7.49,0.041231056
85,296.20812,-14.72607,11.95,0.03,10.01,0.08,1.94,0.085440037
86,296.14054,-14.79896,12.59,0.03,12.53,0.3,0.06,0.301496269
87,296.12377,-14.94321,12.42,0.08,12.2,0.28,0.22,0.291204396
88,296.12384,-14.80063,12.53,0.04,11.85,0.11,0.68,0.117046999
89,296.16318,-14.81462,12.5,0.04,13.04,-9999,-0.54,9999
90,296.14859,-14.8688,12.37,0.03,12.52,-9999,-0.15,9999
91,296.24945,-14.75436,12.52,0.05,11.44,0.22,1.08,0.225610283
92,296.3101,-14.82239,12.5,0.04,11.92,-9999,0.58,9999
93,296.1112,-14.68832,12.57,0.03,11.79,0.23,0.78,0.23194827
94,296.19855,-14.71823,11.61,0.03,11.01,0.07,0.6,0.076157731
