ID,RA,Dec,k45mag,e45mag,k80mag,e80mag,fourfiveMINUSeightzero,ERRORfourfiveMINUSeightzero
2319,296.19859,-14.76926,15.6,0.02,16.73,0.29,-1.13,0.290688837
1194,296.19003,-14.78828,14.93,0.04,15.99,0.26,-1.06,0.263058929
567,296.13953,-14.84234,14.17,0.04,15.13,0.09,-0.96,0.098488578
1536,296.2193,-14.73214,15.16,0.04,16.11,0.11,-0.95,0.117046999
3083,296.2347,-14.77015,15.91,0.07,16.86,0.29,-0.95,0.298328678
2173,296.25276,-14.80993,15.52,0.03,16.41,0.28,-0.89,0.281602557
1947,296.19492,-14.79522,15.41,0.06,16.28,0.2,-0.87,0.20880613
2557,296.35262,-14.70397,15.71,0.06,16.52,0.26,-0.81,0.266833281
2963,296.30355,-14.74088,15.86,0.06,16.64,0.29,-0.78,0.296141858
662,296.29688,-14.75334,14.34,0.09,15.12,0.14,-0.78,0.16643317
2234,296.25248,-14.76233,15.55,0.06,16.32,0.13,-0.77,0.143178211
2786,296.24195,-14.82616,15.8,0.03,16.57,0.2,-0.77,0.202237484
541,296.40397,-14.91875,14.12,0.13,14.88,0.16,-0.76,0.206155281
3607,296.25477,-14.77995,16.09,0.04,16.85,0.28,-0.76,0.282842712
4166,296.20002,-14.83897,16.25,0.06,17.01,0.29,-0.76,0.296141858
3315,296.08583,-14.88722,15.99,0.03,16.75,0.24,-0.76,0.241867732
2485,296.26129,-14.82135,15.67,0.03,16.42,0.18,-0.75,0.182482876
1720,296.40467,-14.75098,15.28,0.07,16.02,0.2,-0.74,0.211896201
2912,296.23508,-14.8876,15.84,0.06,16.58,0.23,-0.74,0.237697286
1061,296.4196,-14.84131,14.84,0.07,15.57,0.18,-0.73,0.193132079
684,296.37809,-14.74611,14.38,0.14,15.11,0.1,-0.73,0.172046505
3609,296.21079,-14.70878,16.09,0.07,16.8,0.2,-0.71,0.211896201
1415,296.38093,-14.69679,15.09,0.11,15.79,0.14,-0.7,0.178044938
3801,296.22966,-14.82247,16.15,0.05,16.84,0.26,-0.69,0.264764046
1306,296.16446,-14.70819,15.01,0.08,15.7,0.11,-0.69,0.136014705
3348,296.16583,-14.71499,16,0.08,16.68,-9999,-0.68,9999
4095,296.24361,-14.71972,16.23,0.05,16.91,0.28,-0.68,0.284429253
2330,296.38074,-14.77722,15.6,0.11,16.26,0.23,-0.66,0.254950976
2044,296.31259,-14.77131,15.46,0.1,16.12,0.17,-0.66,0.197230829
3824,296.27592,-14.75651,16.15,0.04,16.81,0.25,-0.66,0.253179778
5342,296.25599,-14.77465,16.53,0.06,17.19,0.23,-0.66,0.237697286
3056,296.36775,-14.87761,15.9,0.06,16.56,-9999,-0.66,9999
3334,296.29951,-14.67238,15.99,0.05,16.65,0.13,-0.66,0.139283883
4632,296.22066,-14.78221,16.38,0.05,17.03,0.27,-0.65,0.274590604
4871,296.21684,-14.904,16.43,0.05,17.08,0.15,-0.65,0.158113883
1635,296.2286,-14.82999,15.22,0.08,15.86,0.16,-0.64,0.178885438
1597,296.17508,-14.79334,15.2,0.08,15.83,0.23,-0.63,0.243515913
1956,296.16734,-14.88269,15.42,0.07,16.05,0.14,-0.63,0.156524758
3913,296.44288,-14.8602,16.18,0.12,16.8,0.25,-0.62,0.277308492
4345,296.24245,-14.77645,16.3,0.04,16.92,0.23,-0.62,0.233452351
4847,296.17299,-14.81173,16.42,0.05,17.04,0.3,-0.62,0.304138127
2275,296.16848,-14.83271,15.57,0.05,16.18,0.11,-0.61,0.12083046
3197,296.26419,-14.81688,15.95,0.04,16.56,-9999,-0.61,9999
1338,296.36142,-14.90521,15.03,0.06,15.63,0.16,-0.6,0.170880075
3518,296.14572,-14.70691,16.06,0.06,16.65,0.28,-0.59,0.286356421
3412,296.1267,-14.74363,16.02,0.04,16.6,0.26,-0.58,0.263058929
4487,296.26228,-14.81885,16.34,0.07,16.92,0.3,-0.58,0.308058436
878,296.31088,-14.77527,14.66,0.06,15.24,0.12,-0.58,0.134164079
639,296.44935,-14.90197,14.31,0.14,14.88,0.14,-0.57,0.197989899
4595,296.10435,-14.89357,16.37,0.07,16.94,0.22,-0.57,0.230867928
2222,296.08084,-14.67227,15.54,0.07,16.1,0.22,-0.56,0.230867928
1997,296.08909,-14.7356,15.44,0.07,15.99,0.13,-0.55,0.147648231
2852,296.1774,-14.71794,15.82,0.05,16.37,0.22,-0.55,0.225610283
2854,296.1965,-14.77091,15.82,0.06,16.37,0.17,-0.55,0.180277564
2517,296.26896,-14.8689,15.69,0.05,16.24,0.11,-0.55,0.12083046
3376,296.39055,-14.64354,16.01,0.09,16.56,-9999,-0.55,9999
4532,296.28385,-14.7417,16.35,0.08,16.9,0.23,-0.55,0.243515913
2752,296.23064,-14.84769,15.78,0.06,16.32,0.15,-0.54,0.161554944
1120,296.21316,-14.95277,14.88,0.1,15.42,0.16,-0.54,0.188679623
1392,296.18762,-14.79143,15.07,0.04,15.61,0.09,-0.54,0.098488578
3410,296.23816,-14.83616,16.02,0.06,16.56,0.18,-0.54,0.18973666
3796,296.08886,-14.81911,16.15,0.04,16.68,0.18,-0.53,0.184390889
1315,296.42174,-14.77687,15.01,0.08,15.54,0.08,-0.53,0.113137085
1367,296.0491,-14.72244,15.05,0.1,15.58,0.09,-0.53,0.13453624
2400,296.15676,-14.90152,15.63,0.03,16.16,0.14,-0.53,0.143178211
3947,296.40044,-14.8268,16.19,0.07,16.72,0.17,-0.53,0.183847763
2743,296.10492,-14.68254,15.78,0.04,16.3,0.11,-0.52,0.117046999
1679,296.06052,-14.88478,15.25,0.07,15.77,0.25,-0.52,0.2596151
1773,296.33353,-14.76257,15.31,0.05,15.83,0.14,-0.52,0.148660687
1882,296.31533,-14.87199,15.38,0.06,15.9,0.16,-0.52,0.170880075
2166,296.40839,-14.69447,15.52,0.08,16.04,0.16,-0.52,0.178885438
2301,296.38921,-14.71709,15.59,0.05,16.11,0.25,-0.52,0.254950976
2859,296.05179,-14.7668,15.82,0.09,16.34,0.24,-0.52,0.256320112
4698,296.16757,-14.89311,16.39,0.07,16.91,0.25,-0.52,0.2596151
3352,296.17243,-14.83268,16,0.04,16.51,0.16,-0.51,0.164924225
3297,296.20349,-14.70136,15.98,0.04,16.49,0.23,-0.51,0.233452351
5790,296.38282,-14.70994,16.62,0.08,17.13,0.26,-0.51,0.27202941
2469,296.26014,-14.81068,15.67,0.03,16.17,0.16,-0.5,0.162788206
1335,296.43764,-14.8425,15.03,0.09,15.53,0.15,-0.5,0.174928557
1450,296.21991,-14.82894,15.11,0.06,15.61,0.11,-0.5,0.125299641
3145,296.20501,-14.686,15.93,0.05,16.43,0.26,-0.5,0.264764046
3575,296.16824,-14.70905,16.08,0.1,16.57,0.18,-0.49,0.205912603
1622,296.22538,-14.73993,15.21,0.08,15.7,0.21,-0.49,0.224722051
5221,296.31727,-14.77443,16.5,0.08,16.99,0.28,-0.49,0.291204396
5375,296.19473,-14.90536,16.53,0.04,17.02,0.22,-0.49,0.223606798
3170,296.27177,-14.70458,15.94,0.07,16.42,-9999,-0.48,9999
1705,296.21787,-14.87254,15.27,0.05,15.75,0.07,-0.48,0.086023253
2114,296.35154,-14.85995,15.49,0.04,15.97,0.14,-0.48,0.145602198
2857,296.1126,-14.72872,15.82,0.04,16.3,0.15,-0.48,0.155241747
4369,296.24426,-14.8957,16.31,0.08,16.78,0.19,-0.47,0.206155281
4636,296.23227,-14.88,16.38,0.07,16.85,0.21,-0.47,0.221359436
220,296.15201,-14.94864,13.27,0.09,13.74,0.1,-0.47,0.13453624
1319,296.39895,-14.86536,15.02,0.1,15.49,0.07,-0.47,0.122065556
3105,296.27111,-14.74513,15.92,0.05,16.39,0.21,-0.47,0.215870331
1798,296.17353,-14.83314,15.32,0.05,15.79,0.17,-0.47,0.177200451
3023,296.18346,-14.74705,15.89,0.05,16.36,0.12,-0.47,0.13
3391,296.13459,-14.79679,16.02,0.05,16.49,0.15,-0.47,0.158113883
6152,296.11003,-14.7968,16.69,0.05,17.16,0.26,-0.47,0.264764046
966,296.25739,-14.8993,14.76,0.06,15.22,0.08,-0.46,0.1
1695,296.22241,-14.84856,15.26,0.04,15.72,0.13,-0.46,0.136014705
2416,296.25737,-14.77405,15.64,0.04,16.1,0.14,-0.46,0.145602198
3672,296.32087,-14.66152,16.11,0.08,16.57,0.24,-0.46,0.252982213
706,296.39253,-14.68636,14.41,0.09,14.87,0.1,-0.46,0.13453624
4747,296.21522,-14.8194,16.4,0.06,16.85,0.23,-0.45,0.237697286
578,296.18268,-14.83628,14.2,0.1,14.65,0.23,-0.45,0.250798724
1455,296.34299,-14.77826,15.11,0.08,15.56,0.1,-0.45,0.128062485
1767,296.26519,-14.8072,15.31,0.06,15.76,0.11,-0.45,0.125299641
3414,296.07086,-14.71117,16.02,0.04,16.47,0.24,-0.45,0.243310501
3615,296.33795,-14.63738,16.09,0.08,16.54,0.18,-0.45,0.196977156
4079,296.25845,-14.82429,16.23,0.04,16.68,0.26,-0.45,0.263058929
229,296.43103,-14.81664,13.28,0.09,13.72,0.14,-0.44,0.16643317
998,296.2324,-14.90058,14.79,0.03,15.23,0.15,-0.44,0.152970585
3697,296.26046,-14.75933,16.11,0.07,16.55,0.23,-0.44,0.240416306
3750,296.20918,-14.70182,16.13,0.04,16.57,0.29,-0.44,0.292745623
4146,296.35166,-14.63116,16.25,0.07,16.69,0.26,-0.44,0.26925824
3183,296.23225,-14.87787,15.94,0.04,16.38,-9999,-0.44,9999
1609,296.16267,-14.79986,15.2,0.07,15.63,0.09,-0.43,0.114017543
709,296.21545,-14.78518,14.41,0.04,14.84,0.11,-0.43,0.117046999
4379,296.17713,-14.81182,16.31,0.09,16.73,0.27,-0.42,0.284604989
1152,296.26799,-14.71334,14.9,0.08,15.32,0.24,-0.42,0.252982213
1284,296.03347,-14.69145,14.99,0.08,15.41,0.1,-0.42,0.128062485
621,296.39301,-14.78929,14.26,0.07,14.67,0.11,-0.41,0.130384048
3509,296.34278,-14.83922,16.06,0.07,16.47,0.2,-0.41,0.211896201
3814,296.26656,-14.80182,16.15,0.09,16.56,0.24,-0.41,0.256320112
4964,296.13133,-14.73536,16.45,0.07,16.86,0.17,-0.41,0.183847763
4806,296.16276,-14.84094,16.42,0.05,16.83,0.22,-0.41,0.225610283
3443,296.34554,-14.63936,16.04,0.08,16.44,0.19,-0.4,0.206155281
4394,296.08585,-14.85475,16.31,0.05,16.71,0.3,-0.4,0.304138127
1,296.37946,-14.74545,8.94,0.1,9.34,0.04,-0.4,0.107703296
760,296.37789,-14.74541,14.51,0.05,14.91,0.1,-0.4,0.111803399
1295,296.24224,-14.70437,15,0.05,15.4,0.08,-0.4,0.094339811
1383,296.41083,-14.7815,15.06,0.06,15.46,0.06,-0.4,0.084852814
1432,296.06077,-14.89446,15.1,0.09,15.5,0.14,-0.4,0.16643317
1859,296.26393,-14.87585,15.36,0.05,15.76,0.12,-0.4,0.13
2133,296.04982,-14.76942,15.5,0.1,15.9,0.17,-0.4,0.197230829
2696,296.32137,-14.9304,15.76,0.04,16.16,0.12,-0.4,0.126491106
690,296.09678,-14.71193,14.38,0.02,14.78,0.18,-0.4,0.181107703
2621,296.30247,-14.70793,15.73,0.08,16.13,0.23,-0.4,0.243515913
5362,296.27034,-14.76637,16.53,0.06,16.93,0.26,-0.4,0.266833281
3679,296.11212,-14.75918,16.11,0.03,16.5,0.26,-0.39,0.261725047
3837,296.3661,-14.70534,16.16,0.06,16.55,0.22,-0.39,0.228035085
