ID,RA,Dec,k80mag,e80mag,Jmag,eJmag,jMINUSeightzero,ERRORjMINUSeightzero
4,296.32372,-14.71925,9.59,0.04,10.628,0.001,1.038,0.040012498
9,296.34638,-14.65813,9.9,0.03,10.907,0.001,1.007,0.030016662
10,296.39491,-14.7222,10.2,0.03,10.941,0.001,0.741,0.030016662
15,296.19544,-14.76783,10.92,0.01,11.333,0.001,0.413,0.010049876
16,296.11035,-14.93975,10.98,0.09,11.35,0.001,0.37,0.090005555
17,296.03273,-14.71501,11.06,0.04,11.66,0.001,0.6,0.040012498
18,296.04839,-14.72607,10.38,0.03,11.123,0.001,0.743,0.030016662
19,296.36713,-14.90611,11.31,0.05,11.444,0.001,0.134,0.050009999
20,296.10586,-14.74201,10.91,0.03,11.227,0.001,0.317,0.030016662
22,296.37241,-14.77913,11.28,0.04,11.412,0.001,0.132,0.040012498
23,296.31718,-14.81486,11.12,0.02,11.711,0.001,0.591,0.020024984
25,296.1117,-14.8854,11.25,0.03,11.428,0.001,0.178,0.030016662
26,296.19023,-14.7782,11.3,0.03,11.516,0.001,0.216,0.030016662
28,296.27912,-14.87051,11.78,0.02,11.918,0.001,0.138,0.020024984
29,296.04354,-14.76839,11.72,0.05,12.228,0.002,0.508,0.050039984
30,296.37417,-14.63178,11.51,0.02,12.156,0.001,0.646,0.020024984
31,296.40456,-14.68409,11.98,0.12,12.188,0.001,0.208,0.120004167
32,296.27236,-14.91251,11.35,0.03,12.037,0.001,0.687,0.030016662
33,296.23234,-14.75985,11.48,0.03,12.077,0.002,0.597,0.030066593
34,296.43268,-14.88152,10.99,0.06,11.51,0.001,0.52,0.060008333
35,296.35039,-14.75823,11.42,0.03,11.579,0.001,0.159,0.030016662
36,296.3926,-14.72992,11.77,0.03,11.882,0.001,0.112,0.030016662
37,296.06217,-14.85564,10.96,0.07,11.158,0.001,0.198,0.070007142
38,296.34993,-14.85112,11.65,0.03,12.015,0.001,0.365,0.030016662
39,296.28907,-14.69538,11.83,0.05,12.125,0.001,0.295,0.050009999
40,296.23916,-14.94049,11.75,0.06,12.252,0.002,0.502,0.060033324
41,296.4073,-14.78313,11.11,0.03,11.758,0.001,0.648,0.030016662
42,296.11413,-14.72153,11.92,0.03,12.546,0.002,0.626,0.030066593
43,296.28662,-14.80418,11.88,0.04,12.409,0.002,0.529,0.040049969
44,296.25082,-14.91508,11.96,0.04,12.611,0.002,0.651,0.040049969
45,296.29738,-14.73665,11.68,0.04,11.908,0.001,0.228,0.040012498
46,296.32462,-14.76248,12.01,0.04,12.424,0.002,0.414,0.040049969
47,296.1619,-14.95537,11.54,0.05,11.682,0.001,0.142,0.050009999
