ID,RA,Dec,Jmag,eJmag,Kmag,eKmag,jMINUSk,ERRORjMINUSk,ID,CMD1region
4,296.32372,-14.71925,10.628,0.001,10.435,0.001,0.193,0.001414214,1732,1
9,296.34638,-14.65813,10.907,0.001,9.205,0.001,1.702,0.001414214,1762,1
10,296.39491,-14.7222,10.941,0.001,10.409,0.001,0.532,0.001414214,1783,1
15,296.19544,-14.76783,11.333,0.001,10.908,0.001,0.425,0.001414214,1846,1
16,296.11035,-14.93975,11.35,0.001,10.849,0.001,0.501,0.001414214,1847,1
17,296.03273,-14.71501,11.66,0.001,11.033,0.001,0.627,0.001414214,1860,1
18,296.04839,-14.72607,11.123,0.001,10.243,0.001,0.88,0.001414214,1868,1
19,296.36713,-14.90611,11.444,0.001,11.22,0.001,0.224,0.001414214,1870,1
20,296.10586,-14.74201,11.227,0.001,10.889,0.001,0.338,0.001414214,1877,1
22,296.37241,-14.77913,11.412,0.001,11.228,0.001,0.184,0.001414214,1879,1
23,296.31718,-14.81486,11.711,0.001,11.104,0.001,0.607,0.001414214,1882,1
25,296.1117,-14.8854,11.428,0.001,11.142,0.001,0.286,0.001414214,1902,1
26,296.19023,-14.7782,11.516,0.001,11.24,0.001,0.276,0.001414214,1944,1
28,296.27912,-14.87051,11.918,0.001,11.717,0.001,0.201,0.001414214,1950,1
29,296.04354,-14.76839,12.228,0.002,11.551,0.001,0.677,0.002236068,1955,1
30,296.37417,-14.63178,12.156,0.001,11.545,0.001,0.611,0.001414214,1971,1
31,296.40456,-14.68409,12.188,0.001,11.772,0.001,0.416,0.001414214,1982,1
32,296.27236,-14.91251,12.037,0.001,11.42,0.001,0.617,0.001414214,1996,1
33,296.23234,-14.75985,12.077,0.002,11.489,0.001,0.588,0.002236068,2004,1
34,296.43268,-14.88152,11.51,0.001,10.896,0.001,0.614,0.001414214,2005,1
35,296.35039,-14.75823,11.579,0.001,11.363,0.001,0.216,0.001414214,2012,1
36,296.3926,-14.72992,11.882,0.001,11.716,0.001,0.166,0.001414214,2023,1
37,296.06217,-14.85564,11.158,0.001,10.886,0.001,0.272,0.001414214,2033,1
38,296.34993,-14.85112,12.015,0.001,11.631,0.001,0.384,0.001414214,2038,1
39,296.28907,-14.69538,12.125,0.001,11.793,0.001,0.332,0.001414214,2041,1
40,296.23916,-14.94049,12.252,0.002,11.728,0.001,0.524,0.002236068,2050,1
41,296.4073,-14.78313,11.758,0.001,11.096,0.001,0.662,0.001414214,2060,1
42,296.11413,-14.72153,12.546,0.002,11.858,0.001,0.688,0.002236068,2076,1
43,296.28662,-14.80418,12.409,0.002,11.927,0.002,0.482,0.002828427,2094,1
44,296.25082,-14.91508,12.611,0.002,11.956,0.002,0.655,0.002828427,2102,1
45,296.29738,-14.73665,11.908,0.001,11.631,0.001,0.277,0.001414214,2103,1
46,296.32462,-14.76248,12.424,0.002,11.954,0.002,0.47,0.002828427,2112,1
47,296.1619,-14.95537,11.682,0.001,11.453,0.001,0.229,0.001414214,2113,1
49,296.26458,-14.67861,12.277,0.002,11.934,0.002,0.343,0.002828427,2123,1
50,296.34868,-14.90366,11.927,0.001,11.192,0.001,0.735,0.001414214,2125,1
51,296.29964,-14.9122,12.728,0.002,12.11,0.002,0.618,0.002828427,2127,1
52,296.21295,-14.73218,13.392,0.003,12.516,0.002,0.876,0.003605551,2128,1
53,296.38939,-14.87467,12.6,0.002,12.054,0.002,0.546,0.002828427,2135,1
54,296.31862,-14.78844,12.412,0.002,11.627,0.001,0.785,0.002236068,2144,1
55,296.23214,-14.86554,13.256,0.003,12.356,0.002,0.9,0.003605551,2148,1
56,296.39808,-14.63558,12.784,0.002,12.257,0.002,0.527,0.002828427,2153,1
57,296.28379,-14.81428,12.111,0.002,11.879,0.002,0.232,0.002828427,2159,1
58,296.2889,-14.75284,12.584,0.002,12.073,0.002,0.511,0.002828427,2161,1
59,296.19692,-14.66896,12.413,0.002,12.03,0.002,0.383,0.002828427,2174,1
60,296.16444,-14.89521,13.039,0.002,12.251,0.002,0.788,0.002828427,2178,1
61,296.35539,-14.63656,12.649,0.002,12.068,0.002,0.581,0.002828427,2179,1
62,296.17662,-14.78313,12.467,0.002,12.146,0.002,0.321,0.002828427,2187,1
63,296.17007,-14.85616,13.046,0.002,12.118,0.002,0.928,0.002828427,2198,1
64,296.07762,-14.81015,12.616,0.002,12.344,0.002,0.272,0.002828427,2203,1
65,296.36151,-14.76405,12.817,0.002,12.281,0.002,0.536,0.002828427,2207,1
66,296.22735,-14.85768,13.257,0.003,12.352,0.002,0.905,0.003605551,2208,1
67,296.14092,-14.90703,12.527,0.002,12.257,0.002,0.27,0.002828427,2215,1
68,296.15971,-14.95473,12.391,0.002,12.102,0.002,0.289,0.002828427,2225,1
69,296.11811,-14.86657,12.618,0.002,12.341,0.002,0.277,0.002828427,2230,1
70,296.22841,-14.73003,13.705,0.003,12.735,0.002,0.97,0.003605551,2231,1
71,296.35894,-14.75666,12.539,0.002,12.291,0.002,0.248,0.002828427,2232,1
72,296.24165,-14.8949,12.742,0.002,12.273,0.002,0.469,0.002828427,2238,1
73,296.26778,-14.89674,12.855,0.002,12.306,0.002,0.549,0.002828427,2242,1
74,296.23886,-14.82236,13.352,0.003,12.453,0.002,0.899,0.003605551,2243,1
75,296.15389,-14.66145,12.992,0.002,12.418,0.002,0.574,0.002828427,2244,1
76,296.20578,-14.89952,11.791,0.001,11.616,0.001,0.175,0.001414214,2254,1
77,296.25895,-14.88794,16.231,0.014,14.278,0.006,1.953,0.015231546,2256,1
78,296.06897,-14.77061,12.808,0.002,12.327,0.002,0.481,0.002828427,2257,1
79,296.2188,-14.67693,12.918,0.002,12.372,0.002,0.546,0.002828427,2260,1
80,296.06112,-14.7089,13.276,0.003,12.53,0.002,0.746,0.003605551,2262,1
81,296.39467,-14.86896,12.786,0.002,12.461,0.002,0.325,0.002828427,2264,1
82,296.12245,-14.70961,12.852,0.002,12.365,0.002,0.487,0.002828427,2268,1
83,296.18538,-14.88825,13.069,0.002,12.452,0.002,0.617,0.002828427,2270,1
85,296.20812,-14.72607,13.963,0.004,12.871,0.003,1.092,0.005,2275,1
86,296.14054,-14.79896,12.867,0.002,12.531,0.002,0.336,0.002828427,2276,1
87,296.12377,-14.94321,12.739,0.002,12.38,0.002,0.359,0.002828427,2289,1
88,296.12384,-14.80063,13.522,0.003,12.705,0.002,0.817,0.003605551,2293,1
89,296.16318,-14.81462,13.094,0.002,12.519,0.002,0.575,0.002828427,2301,1
90,296.14859,-14.8688,12.922,0.002,12.358,0.002,0.564,0.002828427,2308,1
91,296.24945,-14.75436,13.41,0.003,12.673,0.002,0.737,0.003605551,2309,1
92,296.3101,-14.82239,13.545,0.003,12.788,0.002,0.757,0.003605551,2310,1
93,296.1112,-14.68832,12.935,0.002,12.52,0.002,0.415,0.002828427,2312,1
94,296.19855,-14.71823,18.579,0.081,15.278,0.01,3.301,0.08161495,2313,1
95,296.11072,-14.94249,13.066,0.002,12.497,0.002,0.569,0.002828427,2317,1
96,296.42045,-14.87142,12.939,0.002,12.626,0.002,0.313,0.002828427,2319,1
97,296.22482,-14.9379,13.652,0.003,12.841,0.002,0.811,0.003605551,2320,1
98,296.21398,-14.82672,12.942,0.002,12.646,0.002,0.296,0.002828427,2323,1
99,296.07633,-14.73778,13.242,0.003,12.608,0.002,0.634,0.003605551,2333,1
100,296.05728,-14.77661,13.26,0.003,12.553,0.002,0.707,0.003605551,2340,1
101,296.29647,-14.75285,13.512,0.003,12.757,0.002,0.755,0.003605551,2342,1
102,296.38612,-14.85478,19.305,0.125,15.861,0.016,3.444,0.12601984,2345,1
103,296.19068,-14.87268,13.682,0.003,12.749,0.002,0.933,0.003605551,2353,1
104,296.43693,-14.89042,12.989,0.002,12.658,0.002,0.331,0.002828427,2357,1
105,296.30039,-14.84762,13.236,0.003,12.706,0.002,0.53,0.003605551,2362,1
106,296.29324,-14.90859,17.938,0.05,15.398,0.012,2.54,0.051419841,2371,1
107,296.35693,-14.8596,13.043,0.002,12.743,0.002,0.3,0.002828427,2374,1
108,296.10323,-14.89485,11.857,0.001,11.318,0.001,0.539,0.001414214,2378,1
109,296.33694,-14.67303,12.379,0.001,12.08,0.002,0.299,0.002236068,2384,1
110,296.18259,-14.81214,13.274,0.003,12.694,0.002,0.58,0.003605551,2398,1
111,296.17192,-14.9269,13.733,0.003,12.979,0.003,0.754,0.004242641,2400,1
112,296.14741,-14.9229,13.143,0.002,12.697,0.002,0.446,0.002828427,2401,1
113,296.1123,-14.6724,13.181,0.002,12.679,0.002,0.502,0.002828427,2410,1
114,296.18295,-14.83655,13.08,0.002,12.698,0.002,0.382,0.002828427,2414,1
115,296.07335,-14.79784,13.399,0.003,12.747,0.002,0.652,0.003605551,2425,1
116,296.0763,-14.79473,13.087,0.003,12.724,0.002,0.363,0.003605551,2426,1
117,296.42594,-14.78076,19.301,0.125,15.225,0.01,4.076,0.125399362,2436,1
118,296.23527,-14.85684,13.125,0.002,12.77,0.002,0.355,0.002828427,2437,1
119,296.40046,-14.69058,13.206,0.002,12.622,0.002,0.584,0.002828427,2438,1
120,296.04617,-14.82915,13.76,0.004,12.941,0.003,0.819,0.005,2459,1
121,296.26686,-14.86363,13.202,0.003,12.858,0.003,0.344,0.004242641,2464,1
122,296.06638,-14.69383,13.062,0.002,12.665,0.002,0.397,0.002828427,2470,1
124,296.33341,-14.65482,13.483,0.002,12.839,0.002,0.644,0.002828427,2473,1
125,296.243,-14.74646,14.023,0.004,13.123,0.003,0.9,0.005,2475,1
126,296.4175,-14.78418,13.944,0.004,13.147,0.003,0.797,0.005,2477,1
127,296.04358,-14.77349,13.199,0.003,12.87,0.003,0.329,0.004242641,2479,1
128,296.09188,-14.77513,13.471,0.003,12.853,0.003,0.618,0.004242641,2480,1
129,296.14584,-14.94268,13.558,0.003,12.873,0.003,0.685,0.004242641,2485,1
130,296.33903,-14.77034,13.183,0.003,12.913,0.002,0.27,0.003605551,2489,1
131,296.18257,-14.76972,13.985,0.004,13.019,0.003,0.966,0.005,2495,1
132,296.06002,-14.89723,13.303,0.003,12.792,0.002,0.511,0.003605551,2505,1
133,296.37955,-14.86095,13.347,0.003,12.934,0.002,0.413,0.003605551,2506,1
134,296.39092,-14.82391,13.925,0.004,13.058,0.003,0.867,0.005,2511,1
135,296.12728,-14.87978,13.228,0.003,12.824,0.002,0.404,0.003605551,2514,1
136,296.24058,-14.87483,13.529,0.003,12.974,0.003,0.555,0.004242641,2516,1
137,296.14853,-14.91315,13.324,0.003,12.751,0.002,0.573,0.003605551,2518,1
139,296.13953,-14.7603,12.38,0.002,11.803,0.001,0.577,0.002236068,2519,1
140,296.15558,-14.76741,13.368,0.003,12.968,0.003,0.4,0.004242641,2521,1
142,296.2016,-14.83456,13.374,0.003,12.985,0.003,0.389,0.004242641,2525,1
144,296.19922,-14.84802,14.191,0.004,13.224,0.003,0.967,0.005,2530,1
145,296.25539,-14.93009,13.27,0.003,12.924,0.003,0.346,0.004242641,2540,1
146,296.19971,-14.90522,13.348,0.003,12.955,0.003,0.393,0.004242641,2541,1
147,296.43864,-14.88996,13.289,0.003,12.958,0.003,0.331,0.004242641,2542,1
148,296.21788,-14.68118,13.318,0.003,12.934,0.002,0.384,0.003605551,2544,1
149,296.17063,-14.82048,13.501,0.003,13.016,0.003,0.485,0.004242641,2550,1
150,296.20534,-14.93589,13.498,0.003,12.921,0.003,0.577,0.004242641,2557,1
152,296.39757,-14.8723,13.252,0.003,12.923,0.002,0.329,0.003605551,2561,1
153,296.25735,-14.77634,18.777,0.1,15.449,0.012,3.328,0.100717426,2563,1
154,296.31736,-14.65804,13.388,0.002,13.088,0.003,0.3,0.003605551,2565,1
155,296.24588,-14.90415,13.53,0.003,12.982,0.003,0.548,0.004242641,2573,1
156,296.25803,-14.88435,13.479,0.003,12.934,0.003,0.545,0.004242641,2577,1
157,296.11884,-14.84249,13.544,0.003,12.966,0.003,0.578,0.004242641,2578,1
158,296.14856,-14.70173,14.046,0.004,13.166,0.003,0.88,0.005,2587,1
159,296.19461,-14.78725,13.569,0.003,13.075,0.003,0.494,0.004242641,2590,1
160,296.23629,-14.77728,13.568,0.003,13.038,0.003,0.53,0.004242641,2591,1
161,296.21526,-14.73115,13.922,0.004,13.039,0.003,0.883,0.005,2594,1
164,296.36525,-14.7382,18.52,0.066,15.162,0.009,3.358,0.06661081,2605,1
166,296.1265,-14.81,14.329,0.005,13.485,0.004,0.844,0.006403124,2606,1
167,296.13371,-14.82412,14.027,0.004,13.115,0.003,0.912,0.005,2612,1
168,296.24279,-14.7642,14.113,0.004,13.186,0.003,0.927,0.005,2616,1
172,296.32972,-14.92623,13.357,0.003,12.973,0.003,0.384,0.004242641,2626,1
175,296.22696,-14.80182,14.258,0.004,13.268,0.003,0.99,0.005,2641,1
176,296.40753,-14.89033,13.694,0.003,13.045,0.003,0.649,0.004242641,2642,1
177,296.16735,-14.9056,13.465,0.003,13.084,0.003,0.381,0.004242641,2643,1
178,296.06714,-14.76498,14.229,0.005,13.42,0.004,0.809,0.006403124,2650,1
179,296.23553,-14.84629,13.946,0.004,13.171,0.003,0.775,0.005,2652,1
180,296.35531,-14.71987,17.886,0.04,15.039,0.009,2.847,0.041,2675,1
181,296.22557,-14.86952,13.496,0.003,13.07,0.003,0.426,0.004242641,2683,1
183,296.31567,-14.72938,13.505,0.003,13.224,0.003,0.281,0.004242641,2684,1
184,296.26161,-14.71581,13.586,0.003,13.19,0.003,0.396,0.004242641,2695,1
185,296.30179,-14.78288,13.747,0.003,13.213,0.003,0.534,0.004242641,2697,1
186,296.20653,-14.67403,13.565,0.003,13.185,0.003,0.38,0.004242641,2699,1
188,296.2509,-14.76778,15.313,0.008,14.119,0.005,1.194,0.009433981,2705,1
190,296.40985,-14.75052,13.495,0.003,13.142,0.003,0.353,0.004242641,2707,1
191,296.03356,-14.70361,13.523,0.003,13.162,0.003,0.361,0.004242641,2711,1
192,296.19774,-14.6597,13.57,0.003,13.225,0.003,0.345,0.004242641,2731,1
193,296.24721,-14.69463,13.773,0.003,13.171,0.003,0.602,0.004242641,2734,1
195,296.30012,-14.71033,13.821,0.003,13.215,0.003,0.606,0.004242641,2739,1
196,296.309,-14.85947,14.252,0.004,13.481,0.003,0.771,0.005,2740,1
197,296.40063,-14.87922,13.838,0.003,13.295,0.003,0.543,0.004242641,2743,1
199,296.11576,-14.74815,13.62,0.003,13.199,0.003,0.421,0.004242641,2746,1
