ID,RA,Dec,k36mag,e36mag,Jmag,eJmag,jMINUSthreesix,ERRORjMINUSthreesix
4,296.32372,-14.71925,9.46,0.03,10.628,0.001,1.168,0.030016662
9,296.34638,-14.65813,9.83,0.06,10.907,0.001,1.077,0.060008333
10,296.39491,-14.7222,10.11,0.06,10.941,0.001,0.831,0.060008333
15,296.19544,-14.76783,10.94,0.07,11.333,0.001,0.393,0.070007142
16,296.11035,-14.93975,10.82,0.03,11.35,0.001,0.53,0.030016662
17,296.03273,-14.71501,11.08,0.09,11.66,0.001,0.58,0.090005555
18,296.04839,-14.72607,10.09,0.1,11.123,0.001,1.033,0.100005
19,296.36713,-14.90611,11.46,0.05,11.444,0.001,-0.016,0.050009999
20,296.10586,-14.74201,10.91,0.03,11.227,0.001,0.317,0.030016662
22,296.37241,-14.77913,11.35,0.05,11.412,0.001,0.062,0.050009999
23,296.31718,-14.81486,11.11,0.04,11.711,0.001,0.601,0.040012498
25,296.1117,-14.8854,11.28,0.09,11.428,0.001,0.148,0.090005555
26,296.19023,-14.7782,11.34,0.04,11.516,0.001,0.176,0.040012498
28,296.27912,-14.87051,11.91,0.05,11.918,0.001,0.008,0.050009999
29,296.04354,-14.76839,11.58,0.04,12.228,0.002,0.648,0.040049969
30,296.37417,-14.63178,11.67,0.1,12.156,0.001,0.486,0.100005
31,296.40456,-14.68409,11.93,0.09,12.188,0.001,0.258,0.090005555
32,296.27236,-14.91251,11.75,0.07,12.037,0.001,0.287,0.070007142
33,296.23234,-14.75985,11.81,0.1,12.077,0.002,0.267,0.100019998
34,296.43268,-14.88152,11.01,0.05,11.51,0.001,0.5,0.050009999
35,296.35039,-14.75823,11.42,0.04,11.579,0.001,0.159,0.040012498
36,296.3926,-14.72992,12.48,0.08,11.882,0.001,-0.598,0.08000625
37,296.06217,-14.85564,10.88,0.05,11.158,0.001,0.278,0.050009999
38,296.34993,-14.85112,12.36,0.07,12.015,0.001,-0.345,0.070007142
39,296.28907,-14.69538,12.09,0.04,12.125,0.001,0.035,0.040012498
40,296.23916,-14.94049,12.45,0.11,12.252,0.002,-0.198,0.11001818
41,296.4073,-14.78313,11.22,0.08,11.758,0.001,0.538,0.08000625
42,296.11413,-14.72153,11.99,0.05,12.546,0.002,0.556,0.050039984
43,296.28662,-14.80418,11.94,0.05,12.409,0.002,0.469,0.050039984
44,296.25082,-14.91508,12.11,0.07,12.611,0.002,0.501,0.070028566
45,296.29738,-14.73665,12.12,0.06,11.908,0.001,-0.212,0.060008333
46,296.32462,-14.76248,13.21,0.14,12.424,0.002,-0.786,0.140014285
47,296.1619,-14.95537,11.41,0.02,11.682,0.001,0.272,0.020024984
49,296.26458,-14.67861,11.97,0.06,12.277,0.002,0.307,0.060033324
50,296.34868,-14.90366,11.4,0.06,11.927,0.001,0.527,0.060008333
51,296.29964,-14.9122,12.18,0.06,12.728,0.002,0.548,0.060033324
52,296.21295,-14.73218,12.38,0.06,13.392,0.003,1.012,0.060074953
53,296.38939,-14.87467,13.26,0.11,12.6,0.002,-0.66,0.11001818
54,296.31862,-14.78844,11.94,0.08,12.412,0.002,0.472,0.080024996
55,296.23214,-14.86554,12.25,0.04,13.256,0.003,1.006,0.040112342
56,296.39808,-14.63558,12.29,0.09,12.784,0.002,0.494,0.090022219
57,296.28379,-14.81428,11.99,0.05,12.111,0.002,0.121,0.050039984
58,296.2889,-14.75284,12.18,0.05,12.584,0.002,0.404,0.050039984
59,296.19692,-14.66896,12.1,0.06,12.413,0.002,0.313,0.060033324
60,296.16444,-14.89521,12.35,0.06,13.039,0.002,0.689,0.060033324
61,296.35539,-14.63656,12.13,0.1,12.649,0.002,0.519,0.100019998
62,296.17662,-14.78313,12.24,0.05,12.467,0.002,0.227,0.050039984
63,296.17007,-14.85616,12.25,0.07,13.046,0.002,0.796,0.070028566
64,296.07762,-14.81015,12.4,0.07,12.616,0.002,0.216,0.070028566
65,296.36151,-14.76405,12.5,0.04,12.817,0.002,0.317,0.040049969
66,296.22735,-14.85768,13.59,0.13,13.257,0.003,-0.333,0.130034611
67,296.14092,-14.90703,12.52,0.09,12.527,0.002,0.007,0.090022219
68,296.15971,-14.95473,12.23,0.04,12.391,0.002,0.161,0.040049969
69,296.11811,-14.86657,12.36,0.07,12.618,0.002,0.258,0.070028566
70,296.22841,-14.73003,12.64,0.07,13.705,0.003,1.065,0.070064256
71,296.35894,-14.75666,12.84,0.06,12.539,0.002,-0.301,0.060033324
72,296.24165,-14.8949,12.3,0.04,12.742,0.002,0.442,0.040049969
73,296.26778,-14.89674,12.34,0.04,12.855,0.002,0.515,0.040049969
74,296.23886,-14.82236,12.28,0.04,13.352,0.003,1.072,0.040112342
75,296.15389,-14.66145,12.68,0.07,12.992,0.002,0.312,0.070028566
76,296.20578,-14.89952,11.9,0.09,11.791,0.001,-0.109,0.090005555
77,296.25895,-14.88794,12.98,0.06,16.231,0.014,3.251,0.061611687
78,296.06897,-14.77061,12.33,0.04,12.808,0.002,0.478,0.040049969
79,296.2188,-14.67693,12.63,0.09,12.918,0.002,0.288,0.090022219
80,296.06112,-14.7089,12.37,0.1,13.276,0.003,0.906,0.10004499
81,296.39467,-14.86896,12.54,0.05,12.786,0.002,0.246,0.050039984
82,296.12245,-14.70961,12.57,0.08,12.852,0.002,0.282,0.080024996
83,296.18538,-14.88825,12.41,0.07,13.069,0.002,0.659,0.070028566
85,296.20812,-14.72607,12.47,0.03,13.963,0.004,1.493,0.030265492
86,296.14054,-14.79896,12.58,0.04,12.867,0.002,0.287,0.040049969
87,296.12377,-14.94321,12.56,0.07,12.739,0.002,0.179,0.070028566
88,296.12384,-14.80063,12.64,0.08,13.522,0.003,0.882,0.08005623
89,296.16318,-14.81462,12.71,0.06,13.094,0.002,0.384,0.060033324
90,296.14859,-14.8688,12.62,0.07,12.922,0.002,0.302,0.070028566
91,296.24945,-14.75436,12.58,0.05,13.41,0.003,0.83,0.050089919
