ID,RA,Dec,k36mag,e36mag,k45mag,e45mag,threesixMINUSfourfive,ERRORthreesixMINUSfourfive
1,296.37946,-14.74545,9.07,0.12,8.94,0.1,0.13,0.156204994
2,296.23211,-14.72759,9.34,0.11,9.09,0.03,0.25,0.114017543
3,296.31297,-14.77366,9.48,0.06,9.35,0.05,0.13,0.078102497
4,296.32372,-14.71925,9.46,0.03,9.37,0.04,0.09,0.05
5,296.13722,-14.94461,9.77,0.06,9.39,0.07,0.38,0.092195445
6,296.16602,-14.70821,9.44,0.05,9.48,0.06,-0.04,0.078102497
7,296.235,-14.76056,9.78,0.03,9.72,0.04,0.06,0.05
8,296.22692,-14.73998,9.83,0.05,9.74,0.03,0.09,0.058309519
9,296.34638,-14.65813,9.83,0.06,9.91,0.06,-0.08,0.084852814
10,296.39491,-14.7222,10.11,0.06,10.29,0.05,-0.18,0.078102497
11,296.29394,-14.78752,10.38,0.05,10.36,0.08,0.02,0.094339811
12,296.36513,-14.63382,10.71,0.1,10.49,0.02,0.22,0.10198039
13,296.29585,-14.73476,10.43,0.05,10.61,0.06,-0.18,0.078102497
14,296.20078,-14.86514,10.33,0.05,10.84,0.08,-0.51,0.094339811
15,296.19544,-14.76783,10.94,0.07,10.91,0.04,0.03,0.080622577
16,296.11035,-14.93975,10.82,0.03,10.93,0.04,-0.11,0.05
17,296.03273,-14.71501,11.08,0.09,11.16,0.05,-0.08,0.102956301
18,296.04839,-14.72607,10.09,0.1,11.17,0.1,-1.08,0.141421356
19,296.36713,-14.90611,11.46,0.05,11.19,0.07,0.27,0.086023253
20,296.10586,-14.74201,10.91,0.03,11.19,0.09,-0.28,0.09486833
21,296.19947,-14.67587,11.03,0.04,11.22,0.07,-0.19,0.080622577
22,296.37241,-14.77913,11.35,0.05,11.29,0.07,0.06,0.086023253
23,296.31718,-14.81486,11.11,0.04,11.4,0.09,-0.29,0.098488578
24,296.09001,-14.67849,10.85,0.07,11.46,0.07,-0.61,0.098994949
25,296.1117,-14.8854,11.28,0.09,11.51,0.06,-0.23,0.108166538
26,296.19023,-14.7782,11.34,0.04,11.53,0.06,-0.19,0.072111026
27,296.28082,-14.79704,12.46,0.05,11.58,0.05,0.88,0.070710678
28,296.27912,-14.87051,11.91,0.05,11.62,0.06,0.29,0.078102497
29,296.04354,-14.76839,11.58,0.04,11.63,0.12,-0.05,0.126491106
30,296.37417,-14.63178,11.67,0.1,11.63,0.06,0.04,0.116619038
31,296.40456,-14.68409,11.93,0.09,11.64,0.09,0.29,0.127279221
32,296.27236,-14.91251,11.75,0.07,11.67,0.06,0.08,0.092195445
33,296.23234,-14.75985,11.81,0.1,11.7,0.06,0.11,0.116619038
34,296.43268,-14.88152,11.01,0.05,11.71,0.14,-0.7,0.148660687
35,296.35039,-14.75823,11.42,0.04,11.72,0.07,-0.3,0.080622577
36,296.3926,-14.72992,12.48,0.08,11.74,0.08,0.74,0.113137085
37,296.06217,-14.85564,10.88,0.05,11.74,0.06,-0.86,0.078102497
38,296.34993,-14.85112,12.36,0.07,11.79,0.05,0.57,0.086023253
39,296.28907,-14.69538,12.09,0.04,11.79,0.05,0.3,0.064031242
40,296.23916,-14.94049,12.45,0.11,11.86,0.05,0.59,0.12083046
41,296.4073,-14.78313,11.22,0.08,11.86,0.1,-0.64,0.128062485
42,296.11413,-14.72153,11.99,0.05,11.88,0.06,0.11,0.078102497
43,296.28662,-14.80418,11.94,0.05,11.89,0.05,0.05,0.070710678
44,296.25082,-14.91508,12.11,0.07,11.89,0.04,0.22,0.080622577
